strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,45,100,0,TLT,2,True,,922957.17,83.39,-66.46,1.468,1.2547,285,15.1,923057166.73
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,45,100,0,SHY,0,True,35.0,506644.88,76.23,-62.18,1.4595,1.2259,300,15.1,506744878.02
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,45,100,0,SHY,2,True,35.0,498618.42,76.04,-61.33,1.457,1.2398,299,15.1,498718422.41
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vix35,50,200,45,100,0,cash,0,True,35.0,477341.17,75.53,-61.12,1.4504,1.2357,300,15.1,477441168.81
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vix35,50,200,45,100,0,cash,2,True,35.0,472454.91,75.41,-60.25,1.4487,1.2516,299,15.1,472554907.49
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,45,100,0,TLT,0,True,,797630.26,81.62,-65.71,1.4486,1.2421,287,15.1,797730264.14
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,40,100,0,TLT,2,True,35.0,614314.8,78.5,-65.56,1.423,1.1973,226,15.1,614414796.47
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,40,100,0,TLT,0,True,35.0,543657.49,77.06,-63.97,1.4073,1.2046,226,15.1,543757492.09
SMA100_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,45,100,0,SHY,2,True,,545946.46,77.11,-60.06,1.3983,1.2838,285,15.1,546046461.41
SMA100_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,45,100,0,cash,2,True,,514008.96,76.4,-60.03,1.3894,1.2726,285,15.1,514108961.58
SMA100_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,45,100,0,SHY,0,True,,482528.34,75.66,-60.06,1.3817,1.2598,287,15.1,482628337.72
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue_vix35,100,200,40,100,0,SHY,2,True,35.0,415791.19,73.93,-60.18,1.3803,1.2285,226,15.1,415891188.08
SMA100_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,45,100,0,cash,0,True,,456986.95,75.03,-60.03,1.3737,1.2497,287,15.1,457086948.89
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,50,200,45,100,0,TLT,2,True,,410737.55,73.79,-70.56,1.3734,1.0458,289,15.1,410837545.12
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue_vix35,100,200,40,100,0,cash,2,True,35.0,395079.39,73.34,-60.07,1.373,1.221,226,15.1,395179393.46
