strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates
RSI_Bounce_25_70_ATR2.5,SHY,0.0222,-0.056,-0.38,-0.06,2.32,-0.028,-0.035,40.0,5,0.81,-0.08,826.34,-677.79,37.4,False
RSI_Bounce_25_60_ATR2.5,SHY,0.022,-0.05,-0.23,-0.04,1.79,-0.022,-0.021,40.0,5,0.8,-0.05,461.09,-383.43,21.4,False
SMA100_RSI_40_70,UPRO,0.0219,-0.223,-44.5,-9.71,63.45,-0.153,-0.071,22.2,9,0.26,-4.94,7913.16,-8618.38,21.1,False
RSI_MeanRev_25_75,SHY,0.0211,-0.079,-0.47,-0.08,2.08,-0.038,-0.043,40.0,5,0.74,-0.09,664.67,-598.89,30.0,False
RSI_Bounce_25_70_ATR2.0,SHY,0.0211,-0.079,-0.47,-0.08,2.08,-0.038,-0.043,40.0,5,0.74,-0.09,664.67,-598.89,30.0,False
RSI_Bounce_25_65_ATR2.5,SHY,0.0202,-0.129,-0.65,-0.11,2.32,-0.047,-0.062,40.0,5,0.68,-0.13,693.6,-677.79,29.4,False
EMA_12_26_ADX15,TLT,0.0202,-0.885,-47.29,-10.38,49.06,-0.212,-1.085,10.0,10,0.01,-4.73,377.5,-5296.33,80.6,False
RSI_Bounce_25_65_ATR2.0,SHY,0.0201,-0.132,-0.6,-0.1,2.08,-0.049,-0.057,40.0,5,0.67,-0.12,600.24,-598.89,22.0,False
RSI_Bounce_25_60_ATR2.5,TLT,0.0201,-0.2,-6.98,-1.22,15.43,-0.079,-0.103,33.3,6,0.54,-1.16,4093.68,-3792.53,18.5,False
RSI_MeanRev_20_80,TLT,0.02,-0.001,-0.43,-0.07,6.99,-0.01,-0.0,33.3,3,0.93,-0.14,6047.28,-3237.53,15.0,False
EMA_20_50_ADX20,TQQQ,0.0197,-0.015,-63.93,-16.02,85.71,-0.187,-0.008,28.6,7,0.38,-9.13,19494.47,-20583.2,78.6,False
SMA200_RSI_45_65,SHY,0.0196,-0.188,-1.22,-0.21,2.66,-0.08,-0.14,37.5,8,0.24,-0.15,141.68,-357.32,61.2,False
RSI_Bounce_25_55_ATR2.5,SHY,0.0188,-0.111,-0.47,-0.08,1.79,-0.045,-0.043,40.0,5,0.59,-0.09,338.74,-383.43,19.0,False
RSI_Bounce_25_65_ATR1.5,SHY,0.0183,-0.169,-0.7,-0.12,1.92,-0.062,-0.065,40.0,5,0.55,-0.14,428.76,-520.45,19.8,False
RSI_Bounce_25_70_ATR1.5,SHY,0.0183,-0.169,-0.7,-0.12,1.92,-0.062,-0.065,40.0,5,0.55,-0.14,428.76,-520.45,19.8,False
SMA100_RSI_40_65,TLT,0.0179,-0.122,-2.79,-0.49,11.99,-0.041,-0.054,25.0,4,0.66,-0.7,5640.31,-2854.93,33.8,False
RSI_Bounce_25_65_ATR2.5,TLT,0.017,-0.358,-13.17,-2.37,19.65,-0.12,-0.207,16.7,6,0.33,-2.19,6385.05,-3911.55,25.3,False
RSI_Bounce_25_70_ATR2.5,TLT,0.017,-0.358,-13.17,-2.37,19.65,-0.12,-0.207,16.7,6,0.33,-2.19,6385.05,-3911.55,25.3,False
SMA200_RSI_45_65,TLT,0.017,-0.612,-11.4,-2.08,12.29,-0.169,-0.253,16.7,6,0.33,-1.9,5683.07,-3440.9,18.3,False
SMA100_RSI_45_65,TLT,0.0166,-0.672,-16.74,-3.13,20.14,-0.155,-0.382,14.3,7,0.17,-2.39,3521.05,-3396.9,31.1,False
EMA_12_26_ADX25,TLT,0.0162,-0.027,-3.01,-0.52,19.35,-0.027,-0.024,33.3,3,0.68,-1.0,6304.01,-4659.11,171.3,False
RSI_Bounce_25_55_ATR2.5,TLT,0.0161,-0.362,-10.93,-1.94,15.43,-0.126,-0.172,33.3,6,0.27,-1.82,2036.79,-3751.97,16.0,False
RSI_Bounce_25_60_ATR2.0,SHY,0.016,-0.271,-1.07,-0.18,2.08,-0.087,-0.102,40.0,5,0.4,-0.21,363.41,-598.89,16.2,False
SMA200_RSI_40_70,SHY,0.0156,-0.045,-0.28,-0.05,1.53,-0.032,-0.03,20.0,5,0.37,-0.06,248.16,-168.62,81.4,False
RSI_Bounce_25_65_ATR2.5,TQQQ,0.0154,-0.156,-43.99,-9.36,73.16,-0.128,-0.091,40.0,5,0.36,-8.8,12543.56,-23053.16,30.0,False
RSI_Bounce_25_70_ATR2.5,TQQQ,0.0154,-0.156,-43.99,-9.36,73.16,-0.128,-0.091,40.0,5,0.36,-8.8,12543.56,-23053.16,30.0,False
EMA_12_26_ADX25,SHY,0.0154,-0.493,-5.54,-0.97,8.26,-0.117,-0.623,14.3,7,0.09,-0.79,566.99,-1039.63,171.0,False
RSI_Bounce_25_60_ATR1.5,SHY,0.0151,-0.277,-1.02,-0.17,1.92,-0.091,-0.094,40.0,5,0.34,-0.2,269.25,-520.45,14.0,False
SMA50_RSI_45_65,TLT,0.0148,-0.45,-11.08,-2.02,12.78,-0.158,-0.223,14.3,7,0.05,-1.58,566.06,-1940.5,20.6,False
SMA50_RSI_45_70,TLT,0.0148,-0.45,-11.08,-2.02,12.78,-0.158,-0.223,14.3,7,0.05,-1.58,566.06,-1940.5,20.6,False
SMA50_RSI_45_75,TLT,0.0148,-0.45,-11.08,-2.02,12.78,-0.158,-0.223,14.3,7,0.05,-1.58,566.06,-1940.5,20.6,False
SMA50_RSI_45_65,QQQ,0.0142,-0.596,-16.0,-2.98,16.85,-0.177,-0.199,14.3,7,0.01,-2.29,184.49,-2697.34,11.3,False
SMA50_RSI_45_70,QQQ,0.0142,-0.596,-16.0,-2.98,16.85,-0.177,-0.199,14.3,7,0.01,-2.29,184.49,-2697.34,11.3,False
SMA50_RSI_45_75,QQQ,0.0142,-0.596,-16.0,-2.98,16.85,-0.177,-0.199,14.3,7,0.01,-2.29,184.49,-2697.34,11.3,False
RSI_Bounce_25_55_ATR2.0,SHY,0.0141,-0.348,-1.31,-0.22,2.08,-0.107,-0.121,40.0,5,0.27,-0.26,242.11,-598.89,13.8,False
EMA_9_21_ADX20,TLT,0.0135,-0.694,-41.19,-8.69,47.69,-0.182,-0.895,16.7,6,0.1,-6.86,4434.36,-9125.23,152.7,False
RSI_MeanRev_25_75,SPY,0.0134,-0.201,-10.62,-1.88,22.3,-0.085,-0.054,25.0,4,0.36,-2.66,5853.4,-5491.1,8.8,False
RSI_Bounce_25_55_ATR2.0,SPY,0.0134,-0.201,-10.62,-1.88,22.3,-0.085,-0.054,25.0,4,0.36,-2.66,5853.4,-5491.1,8.8,False
RSI_Bounce_25_60_ATR2.0,SPY,0.0134,-0.201,-10.62,-1.88,22.3,-0.085,-0.054,25.0,4,0.36,-2.66,5853.4,-5491.1,8.8,False
RSI_Bounce_25_65_ATR2.0,SPY,0.0134,-0.201,-10.62,-1.88,22.3,-0.085,-0.054,25.0,4,0.36,-2.66,5853.4,-5491.1,8.8,False
RSI_Bounce_25_70_ATR2.0,SPY,0.0134,-0.201,-10.62,-1.88,22.3,-0.085,-0.054,25.0,4,0.36,-2.66,5853.4,-5491.1,8.8,False
SMA200_RSI_45_70,SHY,0.0132,-0.088,-0.63,-0.11,2.27,-0.048,-0.068,40.0,5,0.21,-0.13,101.13,-324.2,113.4,False
RSI_Bounce_25_55_ATR1.5,SHY,0.0129,-0.361,-1.27,-0.22,1.92,-0.112,-0.112,40.0,5,0.19,-0.25,147.95,-520.45,11.6,False
RSI_Bounce_25_55_ATR1.5,GLD,0.0128,-0.294,-2.01,-0.34,4.33,-0.08,-0.035,33.3,3,0.45,-0.67,1667.13,-1840.11,4.0,False
RSI_Bounce_25_60_ATR1.5,GLD,0.0128,-0.294,-2.01,-0.34,4.33,-0.08,-0.035,33.3,3,0.45,-0.67,1667.13,-1840.11,4.0,False
RSI_Bounce_25_65_ATR1.5,GLD,0.0128,-0.294,-2.01,-0.34,4.33,-0.08,-0.035,33.3,3,0.45,-0.67,1667.13,-1840.11,4.0,False
RSI_Bounce_25_70_ATR1.5,GLD,0.0128,-0.294,-2.01,-0.34,4.33,-0.08,-0.035,33.3,3,0.45,-0.67,1667.13,-1840.11,4.0,False
EMA_20_50_ADX15,TLT,0.0128,-0.655,-34.47,-6.98,38.72,-0.18,-0.693,33.3,6,0.05,-5.74,817.15,-9025.88,101.0,False
SMA100_RSI_45_70,TLT,0.012,-0.712,-18.11,-3.41,22.33,-0.153,-0.422,0.0,6,0.0,-3.02,0.0,-3038.1,38.5,False
SMA100_RSI_45_75,TLT,0.012,-0.712,-18.11,-3.41,22.33,-0.153,-0.422,0.0,6,0.0,-3.02,0.0,-3038.1,38.5,False
RSI_MeanRev_25_75,TLT,0.012,-0.968,-19.48,-3.61,20.02,-0.18,-0.316,0.0,6,0.0,-3.25,0.0,-3246.52,8.8,False
RSI_Bounce_25_55_ATR2.0,TLT,0.012,-0.968,-19.48,-3.61,20.02,-0.18,-0.316,0.0,6,0.0,-3.25,0.0,-3246.52,8.8,False
RSI_Bounce_25_60_ATR2.0,TLT,0.012,-0.968,-19.48,-3.61,20.02,-0.18,-0.316,0.0,6,0.0,-3.25,0.0,-3246.52,8.8,False
RSI_Bounce_25_65_ATR2.0,TLT,0.012,-0.968,-19.48,-3.61,20.02,-0.18,-0.316,0.0,6,0.0,-3.25,0.0,-3246.52,8.8,False
RSI_Bounce_25_70_ATR2.0,TLT,0.012,-0.968,-19.48,-3.61,20.02,-0.18,-0.316,0.0,6,0.0,-3.25,0.0,-3246.52,8.8,False
SMA200_RSI_40_65,SHY,0.0102,-0.196,-1.09,-0.19,1.65,-0.115,-0.129,20.0,5,0.01,-0.22,16.88,-311.73,74.6,False
SMA100_RSI_45_75,SHY,0.01,-0.249,-2.41,-0.42,4.84,-0.087,-0.284,33.3,3,0.27,-0.8,920.43,-1736.14,380.7,False
SMA_50_200,TLT,0.01,-0.372,-12.52,-2.3,16.46,-0.139,-0.282,0.0,5,0.0,-2.5,0.0,-2529.51,66.6,False
SMA100_RSI_40_65,TQQQ,0.01,-0.433,-63.27,-15.96,71.16,-0.224,-0.097,0.0,5,0.0,-12.65,0.0,-12654.96,16.8,False
SMA100_RSI_40_70,TQQQ,0.01,-0.433,-63.27,-15.96,71.16,-0.224,-0.097,0.0,5,0.0,-12.65,0.0,-12654.96,16.8,False
SMA100_RSI_40_75,TQQQ,0.01,-0.433,-63.27,-15.96,71.16,-0.224,-0.097,0.0,5,0.0,-12.65,0.0,-12654.96,16.8,False
SMA200_RSI_45_70,TLT,0.01,-0.792,-15.51,-2.88,16.36,-0.176,-0.355,0.0,5,0.0,-3.1,0.0,-3126.54,25.4,False
SMA200_RSI_45_75,TLT,0.01,-0.792,-15.51,-2.88,16.36,-0.176,-0.355,0.0,5,0.0,-3.1,0.0,-3126.54,25.4,False
SMA_50_200,SHY,0.0088,-0.395,-2.57,-0.45,3.24,-0.139,-0.287,25.0,4,0.05,-0.64,136.37,-949.65,117.2,False
SMA50_RSI_45_65,SHY,0.0086,-0.26,-1.48,-0.26,2.54,-0.102,-0.159,25.0,4,0.04,-0.37,57.71,-514.21,97.0,False
SMA100_RSI_40_70,TLT,0.0086,-0.342,-7.71,-1.38,14.23,-0.097,-0.166,25.0,4,0.04,-1.93,290.46,-2711.15,40.0,False
SMA100_RSI_40_75,TLT,0.0086,-0.342,-7.71,-1.38,14.23,-0.097,-0.166,25.0,4,0.04,-1.93,290.46,-2711.15,40.0,False
SMA50_RSI_45_70,SHY,0.008,-0.169,-1.06,-0.18,2.37,-0.078,-0.109,0.0,4,0.0,-0.26,0.0,-299.31,115.8,False
SMA200_RSI_45_75,SHY,0.008,-0.323,-2.68,-0.47,4.44,-0.106,-0.323,33.3,3,0.13,-0.89,421.36,-1619.44,328.0,False
EMA_12_26_ADX20,TLT,0.008,-0.668,-40.19,-8.42,48.79,-0.173,-0.863,0.0,4,0.0,-10.05,0.0,-10047.95,229.5,False
SMA200_RSI_35_70,SHY,0.006,-0.078,-0.26,-0.05,1.26,-0.036,-0.027,0.0,3,0.0,-0.09,0.0,-134.55,53.7,False
SMA200_RSI_35_65,SHY,0.006,-0.23,-0.66,-0.12,1.26,-0.091,-0.073,0.0,3,0.0,-0.22,0.0,-268.33,46.0,False
SMA200_RSI_40_65,TLT,0.006,-0.77,-8.52,-1.53,9.03,-0.17,-0.205,0.0,3,0.0,-2.84,0.0,-2882.11,20.0,False
SMA200_RSI_40_70,TLT,0.006,-0.77,-8.52,-1.53,9.03,-0.17,-0.205,0.0,3,0.0,-2.84,0.0,-2882.11,20.0,False
SMA200_RSI_40_75,TLT,0.006,-0.77,-8.52,-1.53,9.03,-0.17,-0.205,0.0,3,0.0,-2.84,0.0,-2882.11,20.0,False
SMA100_RSI_35_65,TQQQ,0.004,-0.17,-8.95,-1.61,15.68,-0.103,-0.031,0.0,2,0.0,-4.47,0.0,-4473.59,14.0,False
SMA100_RSI_35_70,TQQQ,0.004,-0.17,-8.95,-1.61,15.68,-0.103,-0.031,0.0,2,0.0,-4.47,0.0,-4473.59,14.0,False
SMA100_RSI_35_75,TQQQ,0.004,-0.17,-8.95,-1.61,15.68,-0.103,-0.031,0.0,2,0.0,-4.47,0.0,-4473.59,14.0,False
RSI_MeanRev_20_80,SPY,0.004,-0.356,-13.22,-2.38,16.82,-0.141,-0.07,0.0,2,0.0,-6.61,0.0,-6611.85,7.0,False
RSI_MeanRev_20_80,SHY,0.004,-0.401,-0.73,-0.12,0.74,-0.169,-0.017,0.0,2,0.0,-0.36,0.0,-365.47,1.5,False
SMA50_RSI_45_75,SHY,0.004,-0.417,-4.83,-0.86,6.8,-0.126,-0.522,0.0,2,0.0,-2.42,0.0,-2483.99,689.5,False
EMA_20_50_ADX25,TQQQ,0.002,-0.127,-62.36,-15.4,87.25,-0.177,-0.094,0.0,1,0.0,-62.36,0.0,-62356.14,626.0,False
EMA_20_50_ADX25,TLT,0.002,-0.251,-16.32,-3.0,23.06,-0.13,-0.283,0.0,1,0.0,-16.32,0.0,-16433.23,769.0,False
EMA_20_50_ADX20,TLT,0.002,-0.302,-18.41,-3.42,23.06,-0.148,-0.327,0.0,1,0.0,-18.41,0.0,-18410.43,686.0,False
SMA100_RSI_35_65,TLT,0.002,-0.549,-3.72,-0.66,3.72,-0.176,-0.07,0.0,1,0.0,-3.72,0.0,-3721.85,11.0,False
SMA100_RSI_35_70,TLT,0.002,-0.549,-3.72,-0.66,3.72,-0.176,-0.07,0.0,1,0.0,-3.72,0.0,-3721.85,11.0,False
SMA100_RSI_35_75,TLT,0.002,-0.549,-3.72,-0.66,3.72,-0.176,-0.07,0.0,1,0.0,-3.72,0.0,-3721.85,11.0,False
SMA200_RSI_35_65,TLT,0.002,-0.595,-4.06,-0.72,4.06,-0.177,-0.08,0.0,1,0.0,-4.06,0.0,-4058.63,13.0,False
SMA200_RSI_35_70,TLT,0.002,-0.595,-4.06,-0.72,4.06,-0.177,-0.08,0.0,1,0.0,-4.06,0.0,-4058.63,13.0,False
SMA200_RSI_35_75,TLT,0.002,-0.595,-4.06,-0.72,4.06,-0.177,-0.08,0.0,1,0.0,-4.06,0.0,-4058.63,13.0,False
RSI_MeanRev_20_80,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
RSI_MeanRev_20_80,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
TripleSuperTrend,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_65,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_70,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_35_75,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_65,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_70,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,SPY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,QQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,TQQQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,TLT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,GLD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,UPRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA50_RSI_40_75,SHY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA100_RSI_35_65,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA100_RSI_35_70,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
SMA100_RSI_35_75,SOXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,False
