strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates
RSI_Bounce_30_65_ATR1.5,SPY,0.0535,-0.123,-5.74,-1.0,16.93,-0.059,-0.043,46.2,13,0.8,-0.44,3735.82,-4022.43,6.0,False
RSI_Bounce_30_70_ATR1.5,SPY,0.0535,-0.123,-5.74,-1.0,16.93,-0.059,-0.043,46.2,13,0.8,-0.44,3735.82,-4022.43,6.0,False
RSI_Bounce_35_65_ATR2.0,SHY,0.0532,-1.401,-8.84,-1.56,9.87,-0.158,-0.833,32.0,25,0.21,-0.35,295.25,-659.01,12.8,False
RSI_Bounce_35_70_ATR2.0,SHY,0.0532,-1.401,-8.84,-1.56,9.87,-0.158,-0.833,32.0,25,0.21,-0.35,295.25,-659.01,12.8,False
EMA_20_50_ADX15,TQQQ,0.0522,0.247,-28.22,-5.52,81.76,-0.067,0.176,37.5,8,0.77,-3.53,30999.95,-24243.58,107.1,False
EMA_5_13_ADX25,TLT,0.0515,-0.099,-8.46,-1.5,20.98,-0.072,-0.112,50.0,8,0.7,-1.06,4867.99,-6982.02,95.8,False
SMA100_RSI_45_65,SHY,0.0507,-0.057,-0.45,-0.08,2.66,-0.03,-0.049,50.0,8,0.65,-0.06,275.43,-424.35,71.6,False
SMA200_RSI_45_70,SOXL,0.0506,0.124,-76.73,-22.36,94.82,-0.236,0.047,40.0,15,0.55,-5.12,15409.22,-18802.3,15.6,False
RSI_Bounce_35_65_ATR2.5,SHY,0.0504,-0.962,-7.65,-1.34,8.86,-0.151,-0.685,30.4,23,0.29,-0.33,444.99,-680.81,20.9,False
Bollinger_20_1.5,SHY,0.0499,-0.96,-8.56,-1.51,9.97,-0.152,-0.842,13.0,23,0.26,-0.37,980.66,-575.14,30.7,False
SMA200_RSI_45_65,SOXL,0.0496,-0.014,-83.01,-26.48,94.72,-0.28,-0.005,43.8,16,0.54,-5.19,14017.07,-20128.71,11.8,False
RSI_Bounce_35_60_ATR2.5,SHY,0.0495,-1.125,-8.39,-1.47,9.55,-0.154,-0.746,30.4,23,0.23,-0.36,353.97,-678.97,17.8,False
RSI_Bounce_30_70_ATR2.5,SHY,0.0493,-0.326,-2.64,-0.45,4.97,-0.091,-0.229,46.2,13,0.52,-0.2,479.86,-788.25,30.0,False
RSI_Bounce_35_55_ATR2.5,SHY,0.0493,-1.253,-8.64,-1.52,9.68,-0.157,-0.714,30.4,23,0.22,-0.38,349.46,-692.89,13.6,False
RSI_Bounce_25_60_ATR1.5,UPRO,0.0487,0.16,2.15,0.36,47.62,0.008,0.078,37.5,8,1.03,0.27,22853.65,-13282.94,13.5,False
RSI_Bounce_35_70_ATR2.5,SHY,0.048,-0.86,-7.84,-1.37,8.25,-0.167,-0.637,27.3,22,0.27,-0.36,501.12,-686.18,23.8,False
RSI_Bounce_30_70_ATR2.5,UPRO,0.0474,0.015,-36.66,-7.45,72.74,-0.102,0.01,42.9,14,0.71,-2.62,14814.72,-15693.31,19.5,False
RSI_Bounce_30_60_ATR1.5,UPRO,0.0462,0.045,-21.14,-3.94,60.79,-0.065,0.023,40.0,15,0.78,-1.41,12858.65,-10920.79,10.4,False
RSI_MeanRev_30_70,TLT,0.0462,-0.949,-34.25,-6.86,38.95,-0.176,-0.678,19.0,21,0.28,-1.63,3280.38,-2786.79,13.2,False
RSI_Bounce_30_60_ATR2.0,TLT,0.0462,-0.949,-34.25,-6.86,38.95,-0.176,-0.678,19.0,21,0.28,-1.63,3280.38,-2786.79,13.2,False
RSI_Bounce_30_65_ATR2.0,TLT,0.0462,-0.949,-34.25,-6.86,38.95,-0.176,-0.678,19.0,21,0.28,-1.63,3280.38,-2786.79,13.2,False
RSI_Bounce_30_70_ATR2.0,TLT,0.0462,-0.949,-34.25,-6.86,38.95,-0.176,-0.678,19.0,21,0.28,-1.63,3280.38,-2786.79,13.2,False
RSI_Bounce_30_55_ATR2.0,TLT,0.0458,-0.998,-35.45,-7.15,40.07,-0.178,-0.709,19.0,21,0.25,-1.69,2921.61,-2772.83,13.1,False
EMA_12_26_ADX15,SHY,0.0457,-0.917,-7.59,-1.34,7.81,-0.172,-0.83,9.1,22,0.11,-0.34,460.59,-425.52,28.0,False
SMA50_RSI_45_75,SPY,0.0454,0.083,1.9,0.33,14.07,0.023,0.056,22.2,9,1.13,0.21,8245.66,-2083.87,34.9,False
RSI_Bounce_30_65_ATR2.5,UPRO,0.0453,-0.008,-40.11,-8.32,72.74,-0.114,-0.005,42.9,14,0.67,-2.86,13836.98,-15391.49,19.3,False
EMA_5_13_ADX25,GLD,0.0451,0.057,0.33,0.06,25.87,0.002,0.053,33.3,12,1.01,0.03,7106.02,-3512.08,57.5,False
EMA_12_26_ADX25,TQQQ,0.0449,0.274,-26.64,-5.17,88.37,-0.058,0.261,33.3,3,0.77,-8.88,87718.29,-57232.24,378.7,False
RSI_Bounce_30_55_ATR2.5,UPRO,0.0448,-0.04,-38.97,-8.03,72.74,-0.11,-0.02,42.9,14,0.64,-2.78,11776.05,-13703.17,13.1,False
EMA_5_13_ADX25,SHY,0.0442,-0.81,-5.41,-0.95,6.97,-0.136,-0.617,10.0,20,0.28,-0.27,1032.25,-415.43,29.4,False
EMA_9_21_ADX20,SHY,0.044,-1.269,-10.18,-1.82,10.64,-0.171,-1.161,9.5,21,0.13,-0.48,734.52,-612.94,39.2,False
SMA100_RSI_45_70,SOXL,0.0436,0.031,-81.74,-25.56,95.05,-0.269,0.013,31.2,16,0.57,-5.11,21876.61,-17377.47,17.0,False
EMA_20_50_ADX25,UPRO,0.0435,0.066,-38.21,-7.91,78.59,-0.101,0.062,50.0,4,0.26,-9.55,6876.72,-26027.32,258.5,False
SMA100_RSI_40_65,SOXL,0.043,0.135,5.21,0.89,28.2,0.031,0.019,25.0,4,1.18,1.3,33589.8,-9459.78,3.2,False
EMA_20_50_ADX20,UPRO,0.0428,-0.066,-43.36,-9.27,75.98,-0.122,-0.044,50.0,6,0.39,-7.23,9409.3,-23890.77,112.7,False
RSI_Bounce_25_55_ATR1.5,UPRO,0.0422,0.122,-4.42,-0.76,47.62,-0.016,0.059,37.5,8,0.93,-0.55,20484.23,-13174.61,12.9,False
RSI_Bounce_30_55_ATR1.5,UPRO,0.042,0.01,-26.2,-5.02,60.79,-0.083,0.005,40.0,15,0.73,-1.75,11744.1,-10740.64,10.1,False
RSI_Bounce_30_60_ATR2.5,TLT,0.042,-0.665,-26.97,-5.19,33.31,-0.156,-0.503,27.8,18,0.4,-1.5,3621.68,-3467.27,16.7,False
RSI_Bounce_25_65_ATR2.5,GLD,0.0416,-0.026,-0.55,-0.09,8.46,-0.011,-0.008,50.0,2,0.84,-0.28,2833.43,-3380.03,28.0,False
RSI_Bounce_25_70_ATR2.5,GLD,0.0416,-0.026,-0.55,-0.09,8.46,-0.011,-0.008,50.0,2,0.84,-0.28,2833.43,-3380.03,28.0,False
RSI_Bounce_25_60_ATR2.5,UPRO,0.041,0.142,-10.47,-1.86,62.1,-0.03,0.066,28.6,7,0.85,-1.5,29245.58,-13792.03,21.9,False
RSI_Bounce_30_55_ATR2.5,TLT,0.0406,-0.803,-30.52,-5.98,36.55,-0.164,-0.584,27.8,18,0.31,-1.7,2757.55,-3408.24,15.8,False
SMA100_RSI_40_65,SHY,0.0394,-0.065,-0.3,-0.05,1.34,-0.038,-0.035,50.0,4,0.43,-0.08,163.73,-383.52,85.5,False
RSI_Bounce_30_65_ATR1.5,UPRO,0.0384,-0.135,-46.14,-9.96,62.44,-0.159,-0.076,33.3,15,0.56,-3.08,11619.42,-10424.06,11.9,False
RSI_Bounce_30_70_ATR1.5,UPRO,0.0384,-0.135,-46.14,-9.96,62.44,-0.159,-0.076,33.3,15,0.56,-3.08,11619.42,-10424.06,11.9,False
Bollinger_20_2,TLT,0.0382,-0.318,-20.99,-3.93,31.62,-0.124,-0.323,31.2,16,0.41,-1.31,2907.62,-3229.83,39.1,False
RSI_MeanRev_20_80,UPRO,0.038,0.156,1.67,0.28,44.17,0.006,0.064,33.3,3,1.03,0.56,57223.53,-27777.6,30.7,False
RSI_Bounce_30_65_ATR2.5,TLT,0.0378,-0.833,-34.54,-6.93,40.22,-0.172,-0.694,17.6,17,0.25,-2.03,3881.31,-3299.06,20.5,False
RSI_Bounce_30_70_ATR2.5,TLT,0.0378,-0.833,-34.54,-6.93,40.22,-0.172,-0.694,17.6,17,0.25,-2.03,3881.31,-3299.06,20.5,False
RSI_Bounce_25_60_ATR2.5,TQQQ,0.0373,0.129,-1.64,-0.28,59.47,-0.005,0.069,40.0,5,0.96,-0.33,22030.87,-15282.5,24.6,False
