variant_name,sma_fast,sma_slow,rsi_entry,upro_pct,tqqq_pct,defensive,confirm_days,bull_caution,vix_kill,total_return_pct,cagr_pct,sharpe,sortino,max_dd_pct,calmar,transitions,best_year,worst_year,year_2022_return
SMA50_200_RSI35_U100T0_SHY_C2_BC,50,200,35,100,0,SHY,2,True,False,36.85,5.37,0.3647,0.3345,-74.02,0.0726,36,2021: +104.90%,2022: -68.78%,-68.78
SMA100_200_RSI35_U75T25_CASH_C2_noBC,100,200,35,75,25,CASH,2,False,False,34.9,5.12,0.3635,0.2966,-73.75,0.0694,149,2021: +89.71%,2022: -68.59%,-68.59
SMA100_200_RSI35_U75T25_SHY_C2_noBC,100,200,35,75,25,SHY,2,False,False,34.05,5.01,0.361,0.3271,-73.8,0.0679,150,2021: +89.66%,2022: -69.32%,-69.32
SMA100_200_RSI35_U100T0_TLT_C2_noBC,100,200,35,100,0,TLT,2,False,False,35.01,5.14,0.3595,0.3449,-73.88,0.0695,34,2021: +103.33%,2022: -71.90%,-71.9
SMA50_200_RSI35_U100T0_SHY_C0_BC,50,200,35,100,0,SHY,0,True,False,34.72,5.1,0.3581,0.3286,-74.02,0.0689,35,2021: +104.90%,2022: -68.78%,-68.78
SMA100_200_RSI40_U75T25_CASH_C2_BC,100,200,40,75,25,CASH,2,True,False,32.85,4.85,0.357,0.2944,-70.71,0.0686,175,2021: +85.70%,2022: -66.08%,-66.08
SMA100_200_RSI35_U100T0_CASH_C2_BC_VIX35,100,200,35,100,0,CASH,2,True,35,34.35,5.05,0.3569,0.2925,-70.51,0.0716,41,2021: +94.84%,2022: -64.94%,-64.94
SMA100_200_RSI35_U75T25_CASH_C0_noBC,100,200,35,75,25,CASH,0,False,False,31.95,4.73,0.3547,0.2898,-73.75,0.0642,149,2021: +89.71%,2022: -68.59%,-68.59
SMA100_200_RSI35_U100T0_TLT_C0_noBC,100,200,35,100,0,TLT,0,False,False,33.43,4.93,0.3546,0.3403,-73.88,0.0667,33,2021: +103.33%,2022: -71.90%,-71.9
SMA100_200_RSI40_U75T25_SHY_C2_BC,100,200,40,75,25,SHY,2,True,False,31.86,4.72,0.3541,0.3212,-70.78,0.0667,176,2021: +85.75%,2022: -66.88%,-66.88
SMA100_200_RSI35_U75T25_SHY_C0_noBC,100,200,35,75,25,SHY,0,False,False,31.53,4.68,0.3535,0.3204,-73.8,0.0634,149,2021: +89.66%,2022: -69.32%,-69.32
SMA100_200_RSI35_U100T0_CASH_C2_noBC_VIX35,100,200,35,100,0,CASH,2,False,35,33.43,4.93,0.3535,0.2856,-71.46,0.069,39,2021: +92.07%,2022: -66.07%,-66.07
SMA100_200_RSI35_U100T0_SHY_C2_BC_VIX35,100,200,35,100,0,SHY,2,True,35,33.25,4.91,0.3534,0.3188,-70.49,0.0696,42,2021: +94.82%,2022: -65.69%,-65.69
SMA100_200_RSI35_U75T25_TLT_C2_BC,100,200,35,75,25,TLT,2,True,False,29.58,4.42,0.3503,0.3405,-74.05,0.0597,150,2021: +93.05%,2022: -72.03%,-72.03
SMA100_200_RSI35_U100T0_SHY_C2_noBC_VIX35,100,200,35,100,0,SHY,2,False,35,32.4,4.79,0.3502,0.3145,-71.43,0.0671,42,2021: +92.03%,2022: -66.78%,-66.78
SMA100_200_RSI35_U100T0_CASH_C0_BC_VIX35,100,200,35,100,0,CASH,0,True,35,31.84,4.72,0.3489,0.2863,-70.51,0.067,41,2021: +94.84%,2022: -64.94%,-64.94
SMA100_200_RSI40_U75T25_CASH_C0_BC,100,200,40,75,25,CASH,0,True,False,29.94,4.47,0.3482,0.2875,-70.71,0.0632,175,2021: +85.70%,2022: -66.08%,-66.08
SMA100_200_RSI35_U100T0_SHY_C0_BC_VIX35,100,200,35,100,0,SHY,0,True,35,31.17,4.63,0.3467,0.3129,-70.49,0.0657,41,2021: +94.82%,2022: -65.69%,-65.69
SMA100_200_RSI40_U75T25_SHY_C0_BC,100,200,40,75,25,SHY,0,True,False,29.38,4.39,0.3465,0.3145,-70.78,0.062,175,2021: +85.75%,2022: -66.88%,-66.88
SMA100_200_RSI35_U100T0_CASH_C0_noBC_VIX35,100,200,35,100,0,CASH,0,False,35,30.94,4.6,0.3454,0.2794,-71.46,0.0644,39,2021: +92.07%,2022: -66.07%,-66.07
SMA100_200_RSI35_U75T25_TLT_C0_BC,100,200,35,75,25,TLT,0,True,False,27.64,4.16,0.3445,0.335,-74.05,0.0561,149,2021: +93.05%,2022: -72.03%,-72.03
SMA100_200_RSI35_U100T0_SHY_C0_noBC_VIX35,100,200,35,100,0,SHY,0,False,35,30.34,4.52,0.3434,0.3086,-71.43,0.0633,41,2021: +92.03%,2022: -66.78%,-66.78
SMA50_200_RSI40_U100T0_CASH_C2_BC,50,200,40,100,0,CASH,2,True,False,27.2,4.1,0.3327,0.2746,-71.96,0.0569,59,2021: +96.67%,2022: -66.51%,-66.51
SMA100_200_RSI50_U100T0_CASH_C2_BC,100,200,50,100,0,CASH,2,True,False,26.19,3.96,0.325,0.2554,-65.15,0.0607,117,2021: +40.50%,2022: -60.38%,-60.38
SMA50_200_RSI40_U100T0_CASH_C0_BC,50,200,40,100,0,CASH,0,True,False,24.82,3.77,0.3246,0.2683,-71.96,0.0524,59,2021: +96.67%,2022: -66.51%,-66.51
SMA100_200_RSI50_U100T0_SHY_C2_BC,100,200,50,100,0,SHY,2,True,False,25.33,3.84,0.3218,0.2807,-65.38,0.0587,118,2024: +40.65%,2022: -61.42%,-61.42
SMA50_200_RSI40_U100T0_SHY_C2_BC,50,200,40,100,0,SHY,2,True,False,23.46,3.58,0.3199,0.2902,-72.79,0.0492,60,2021: +96.72%,2022: -67.72%,-67.72
SMA100_200_RSI50_U100T0_CASH_C0_BC,100,200,50,100,0,CASH,0,True,False,23.83,3.63,0.3161,0.2488,-65.15,0.0557,117,2021: +40.50%,2022: -60.38%,-60.38
SMA100_200_RSI40_U100T0_CASH_C2_noBC,100,200,40,100,0,CASH,2,False,False,22.51,3.45,0.3151,0.2475,-69.25,0.0498,59,2021: +85.97%,2022: -65.30%,-65.3
SMA100_200_RSI50_U100T0_SHY_C0_BC,100,200,50,100,0,SHY,0,True,False,23.38,3.57,0.3144,0.2743,-65.38,0.0546,117,2024: +40.65%,2022: -61.42%,-61.42
SMA50_200_RSI40_U100T0_SHY_C0_BC,50,200,40,100,0,SHY,0,True,False,21.54,3.31,0.3132,0.2842,-72.79,0.0454,59,2021: +96.72%,2022: -67.72%,-67.72
SMA100_200_RSI40_U100T0_SHY_C2_noBC,100,200,40,100,0,SHY,2,False,False,21.74,3.34,0.3123,0.277,-69.37,0.0481,60,2021: +86.06%,2022: -66.18%,-66.18
