strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates,final_capital,data_source
RSI_Bounce_25_55_ATR2.5,SOXL,0.3514,0.81,433.27,32.8,46.73,0.702,0.466,100.0,4,0.0,108.32,108317.68,0.0,36.5,False,533270.72,databento
RSI_Bounce_30_55_ATR1.5,SOXL,0.3499,0.74,366.0,29.8,53.59,0.556,0.479,77.8,9,4.45,40.67,67420.95,-52971.1,20.7,False,466004.43,databento
RSI_Bounce_25_60_ATR2.0,SOXL,0.348,0.794,421.13,32.28,46.72,0.691,0.472,100.0,4,0.0,105.28,105283.5,0.0,41.2,False,521134.01,databento
IBS_20pct_1d,SOXL,0.3461,0.779,461.26,33.56,62.38,0.538,0.745,59.2,265,1.15,1.74,22589.85,-28582.78,1.2,True,559665.43,databento
RSI_Bounce_25_70_ATR1.5,SOXL,0.3452,0.779,412.03,31.89,46.7,0.683,0.54,100.0,4,0.0,103.01,103008.43,0.0,61.8,False,512033.73,databento
IBS_15pct_5d,SOXL,0.3439,0.723,379.82,30.1,76.07,0.396,0.686,66.5,179,1.25,2.12,15895.42,-25218.36,2.7,True,478453.29,databento
IBS_5pct_5d,TQQQ,0.3424,0.726,200.46,20.27,32.29,0.628,0.485,63.2,68,1.96,2.95,9542.74,-8395.25,2.6,True,300456.63,databento
SMA200_RSI_35_70,QQQ,0.341,1.054,54.39,7.83,8.7,0.899,0.583,71.4,7,4.5,7.77,13989.23,-7777.41,34.7,False,154391.32,databento
RSI_Bounce_25_65_ATR1.5,SOXL,0.3371,0.759,372.93,30.12,46.7,0.645,0.472,100.0,4,0.0,93.23,93233.32,0.0,46.0,False,472933.28,databento
RSI_Bounce_25_55_ATR2.0,SOXL,0.336,0.765,361.99,29.61,46.72,0.634,0.43,100.0,4,0.0,90.5,90498.32,0.0,35.2,False,461993.3,databento
SMA200_RSI_35_75,UPRO,0.3358,0.74,80.85,10.83,20.1,0.539,0.441,75.0,4,7.25,20.21,31267.02,-12946.48,66.5,False,180854.59,databento
