strategy,etf,ifa_score,sharpe,total_return_pct,cagr_pct,max_drawdown_pct,calmar,sortino,win_rate,total_trades,profit_factor,avg_trade_pct,avg_win,avg_loss,avg_bars_held,passes_gates,final_capital,data_source
IBS_20pct_1d,UPRO,0.2383,0.466,79.72,10.34,35.68,0.29,0.441,53.7,231,1.16,0.35,4572.28,-4558.47,1.2,False,179205.72,databento
SMA200_RSI_45_75,SPY,0.2372,0.761,45.79,6.76,15.4,0.439,0.75,62.5,8,3.07,5.72,13513.44,-7329.62,88.0,False,145578.34,databento
SMA_50_200,UPRO,0.2369,0.49,67.84,9.4,48.04,0.196,0.397,100.0,3,0.0,22.61,22532.08,0.0,199.3,False,167596.24,databento
RSI_Bounce_30_70_ATR2.5,GLD,0.2354,0.584,17.21,2.73,6.79,0.402,0.371,71.4,7,3.48,2.46,4831.95,-3472.97,33.0,False,117213.82,databento
SMA_20_50,QQQ,0.2343,0.725,80.18,10.76,28.21,0.381,0.822,57.1,14,2.94,5.73,15132.08,-6855.03,71.9,True,179926.5,databento
EMA_20_50_ADX25,SPY,0.2343,0.501,43.07,6.32,24.09,0.263,0.592,100.0,2,0.0,21.54,21430.76,0.0,524.0,False,142861.52,databento
EMA_20_50_ADX25,SOXL,0.234,0.467,73.83,9.93,42.91,0.231,0.241,100.0,1,0.0,73.83,73833.27,0.0,172.0,False,173833.27,databento
SMA_10_30,SPY,0.2339,0.724,58.07,8.27,18.78,0.44,0.818,52.2,23,2.61,2.52,7819.19,-3271.54,44.1,True,157843.38,databento
IBS_5pct_3d,UPRO,0.2323,0.346,34.86,5.15,40.51,0.127,0.197,64.3,70,1.21,0.5,4391.14,-6509.59,2.3,False,134861.28,databento
MACD_12_26_9,GLD,0.2308,0.581,42.87,6.3,14.28,0.441,0.587,42.4,59,1.65,0.73,4324.53,-1924.82,13.2,False,142669.09,databento
RSI_Bounce_30_65_ATR2.5,GLD,0.2297,0.559,16.37,2.6,6.79,0.383,0.354,71.4,7,3.37,2.34,4652.25,-3446.73,32.9,False,116367.81,databento
IBS_5pct_2d,GLD,0.2287,0.499,10.81,1.74,4.79,0.363,0.334,55.8,43,1.71,0.25,1085.12,-801.66,1.8,False,110811.34,databento
EMA_9_21_ADX25,SOXL,0.2277,0.567,110.8,13.62,87.94,0.155,0.764,75.0,4,2.53,27.7,60902.81,-72206.54,299.2,False,210501.88,databento
IBS_5pct_5d,SOXL,0.2271,0.378,52.4,7.32,70.42,0.104,0.247,60.3,73,1.13,0.72,10563.43,-14220.45,2.7,False,152398.01,databento
EMA_9_21_ADX15,UPRO,0.227,0.602,136.23,15.85,62.7,0.253,0.515,60.0,20,1.88,6.81,24211.68,-19330.86,48.4,True,235893.31,databento
IBS_15pct_5d,GLD,0.2269,0.404,18.23,2.85,12.9,0.221,0.349,58.8,114,1.27,0.16,1271.05,-1431.29,3.5,False,117889.82,databento
IBS_10pct_3d,QQQ,0.2267,0.357,23.92,3.66,20.85,0.176,0.292,61.2,116,1.26,0.21,1621.28,-2034.26,2.3,False,123568.75,databento
SMA200_RSI_45_75,UPRO,0.2245,0.638,127.1,15.3,55.69,0.275,0.392,66.7,9,1.8,14.12,47476.6,-52695.42,68.4,False,226773.35,databento
RSI_BB_MeanRev_30_70,TQQQ,0.2242,0.454,85.37,11.1,43.27,0.257,0.31,66.7,24,1.65,3.56,13553.77,-16435.79,10.6,False,185374.03,databento
EMA_9_21_ADX20,UPRO,0.2236,0.522,107.26,13.29,77.15,0.172,0.538,75.0,12,1.46,8.94,37588.66,-77111.18,102.8,True,206964.35,databento
SMA200_RSI_45_65,UPRO,0.2235,0.53,79.92,10.73,59.41,0.181,0.252,73.3,15,1.58,5.33,19770.04,-34450.88,25.5,True,179666.87,databento
IBS_5pct_3d,SPY,0.2225,0.328,11.87,1.9,11.17,0.17,0.193,61.9,63,1.32,0.19,1250.59,-1537.53,2.2,False,111872.39,databento
SMA_10_30,GLD,0.2214,0.718,60.71,8.58,20.93,0.41,0.779,43.3,30,2.46,2.02,7827.71,-2428.49,29.4,False,160475.97,databento
SMA50_RSI_45_75,UPRO,0.2213,0.819,77.07,10.43,17.63,0.591,0.457,40.0,10,3.94,7.71,25832.35,-4375.85,16.2,False,177074.28,databento
IBS_15pct_3d,GLD,0.2212,0.38,15.34,2.42,13.19,0.184,0.332,59.0,122,1.24,0.13,1065.98,-1234.79,2.8,False,115011.16,databento
SMA200_RSI_45_70,UPRO,0.2205,0.586,104.47,13.22,57.12,0.231,0.349,70.0,10,1.67,10.45,37219.17,-52120.14,57.9,True,204173.76,databento
IBS_5pct_2d,SOXL,0.2188,0.348,43.62,6.26,57.11,0.11,0.189,59.0,78,1.11,0.56,9705.86,-12589.09,1.8,False,143618.75,databento
RSI_Bounce_35_60_ATR2.5,GLD,0.2186,0.607,25.89,3.98,11.72,0.34,0.426,64.7,17,2.1,1.52,4501.64,-3937.53,18.6,True,125892.83,databento
RSI_Bounce_30_65_ATR2.5,TQQQ,0.2181,0.512,119.6,14.26,58.07,0.246,0.44,70.0,10,1.8,11.96,38366.93,-49760.89,35.5,True,219285.82,databento
IBS_5pct_3d,TQQQ,0.2181,0.331,35.48,5.23,33.01,0.158,0.174,58.6,70,1.17,0.51,6065.79,-7352.34,2.2,False,135479.46,databento
IBS_10pct_2d,UPRO,0.2179,0.368,49.98,7.04,39.97,0.176,0.258,54.9,122,1.2,0.41,4463.2,-4535.96,1.9,False,149556.43,databento
SMA200_RSI_35_65,UPRO,0.2164,0.667,52.03,7.54,20.1,0.375,0.289,60.0,5,3.31,10.41,24839.92,-11243.0,25.8,False,152033.77,databento
IBS_10pct_1d,SOXL,0.2155,0.376,56.55,7.81,56.45,0.138,0.285,54.7,148,1.09,0.38,8155.48,-9015.58,1.1,False,156550.09,databento
SMA200_RSI_45_75,GLD,0.2125,0.627,30.94,4.79,15.07,0.318,0.529,62.5,8,3.12,3.87,9107.47,-4866.01,59.9,False,130939.3,databento
RSI_Bounce_30_60_ATR1.5,TQQQ,0.2122,0.504,111.32,13.52,57.07,0.237,0.325,66.7,12,1.88,9.28,29723.18,-31693.08,17.8,True,211013.08,databento
RSI_Bounce_30_60_ATR2.5,SOXL,0.2118,0.531,132.99,15.41,57.68,0.267,0.448,66.7,9,1.69,14.78,54117.38,-63904.88,36.4,False,232989.61,databento
RSI_Bounce_35_55_ATR2.5,GLD,0.2116,0.551,21.3,3.33,12.12,0.274,0.371,66.7,18,1.92,1.18,3703.43,-3857.6,14.4,True,121295.57,databento
IBS_15pct_1d,UPRO,0.2102,0.373,50.25,7.07,44.62,0.158,0.312,52.5,183,1.13,0.27,4381.26,-4261.84,1.2,False,149820.46,databento
SMA200_RSI_40_75,UPRO,0.2101,0.553,89.26,11.71,60.32,0.194,0.287,71.4,7,1.73,12.75,42030.96,-60581.04,68.4,False,188992.7,databento
Bollinger_20_1.5,GLD,0.2093,0.696,60.93,8.43,16.59,0.508,0.744,43.5,23,2.28,2.65,10798.65,-3637.42,40.0,False,160699.98,databento
RSI_Bounce_30_55_ATR1.5,QQQ,0.2084,0.519,25.59,3.94,11.04,0.357,0.202,66.7,9,2.67,2.84,6818.24,-5105.14,5.7,False,125594.02,databento
RSI_Bounce_30_60_ATR1.5,QQQ,0.2084,0.519,25.59,3.94,11.04,0.357,0.202,66.7,9,2.67,2.84,6818.24,-5105.14,5.7,False,125594.02,databento
RSI_Bounce_30_65_ATR1.5,QQQ,0.2084,0.519,25.59,3.94,11.04,0.357,0.202,66.7,9,2.67,2.84,6818.24,-5105.14,5.7,False,125594.02,databento
RSI_Bounce_30_70_ATR1.5,QQQ,0.2084,0.519,25.59,3.94,11.04,0.357,0.202,66.7,9,2.67,2.84,6818.24,-5105.14,5.7,False,125594.02,databento
SMA100_RSI_45_75,SPY,0.2075,0.776,44.39,6.58,15.88,0.414,0.726,50.0,8,3.21,5.55,16049.91,-5003.38,78.2,False,144186.13,databento
SMA100_RSI_45_65,GLD,0.207,0.542,22.55,3.59,10.44,0.344,0.389,63.6,11,2.78,2.05,5030.84,-3165.43,34.6,True,122554.12,databento
IBS_10pct_2d,QQQ,0.207,0.333,20.6,3.19,20.53,0.156,0.26,55.4,121,1.23,0.17,1631.65,-1649.27,1.8,False,120260.08,databento
RSI_Bounce_25_60_ATR1.5,TQQQ,0.2069,0.459,82.64,10.75,47.49,0.226,0.222,71.4,7,2.13,11.81,30997.07,-36301.9,17.4,False,182381.53,databento
IBS_20pct_3d,GLD,0.2069,0.28,12.23,1.95,17.24,0.113,0.272,60.1,158,1.15,0.08,952.74,-1247.58,2.8,False,111912.56,databento
SMA200_RSI_35_65,GLD,0.2067,0.53,13.91,2.29,4.59,0.498,0.238,60.0,5,3.73,2.78,6338.41,-2550.36,31.0,False,113914.51,databento
IBS_10pct_5d,GLD,0.2065,0.281,9.71,1.57,13.23,0.118,0.183,59.7,72,1.21,0.13,1264.46,-1550.68,3.4,False,109402.0,databento
RSI_BB_MeanRev_25_75,SOXL,0.2058,0.467,97.27,12.29,46.73,0.263,0.217,63.6,11,2.4,8.84,23827.1,-17380.21,9.0,False,197268.85,databento
IBS_10pct_1d,UPRO,0.2044,0.36,45.74,6.52,35.82,0.182,0.271,50.4,129,1.15,0.35,5238.32,-4611.91,1.1,False,145329.0,databento
SMA200_RSI_45_65,QQQ,0.2042,0.358,20.38,3.27,17.92,0.183,0.255,80.0,10,1.98,2.04,5091.09,-10260.01,37.3,False,120208.72,databento
EMA_20_50_ADX20,QQQ,0.2033,0.547,59.19,8.28,31.61,0.262,0.606,66.7,6,2.39,9.86,25424.84,-21255.97,158.2,False,159187.41,databento
SMA200_RSI_40_70,SPY,0.2028,0.517,19.35,3.12,13.23,0.236,0.353,71.4,7,2.44,2.76,6505.48,-6673.32,48.7,False,119180.78,databento
Bollinger_20_1.5,SPY,0.2027,0.478,32.52,4.9,19.5,0.251,0.501,60.0,25,1.89,1.3,4586.29,-3646.14,37.1,False,132332.91,databento
MACD_8_21_5,GLD,0.2026,0.514,35.96,5.4,20.38,0.265,0.522,40.2,82,1.48,0.44,3355.25,-1525.82,9.4,False,135957.95,databento
Bollinger_20_2,GLD,0.2018,0.658,57.9,8.08,23.61,0.342,0.728,50.0,16,2.67,3.62,11515.0,-4305.72,61.1,True,157674.19,databento
IBS_5pct_5d,QQQ,0.2014,0.346,20.29,3.15,22.76,0.138,0.227,51.7,58,1.47,0.35,2124.83,-1551.98,2.8,False,120289.53,databento
MACD_12_26_9,SPY,0.2013,0.407,26.75,4.14,17.13,0.242,0.432,46.2,65,1.38,0.41,3202.66,-1986.09,11.7,False,126566.68,databento
RSI_Bounce_25_55_ATR1.5,TQQQ,0.2002,0.436,74.3,9.87,47.49,0.208,0.21,71.4,7,2.03,10.61,29155.58,-35862.34,17.3,False,174053.23,databento
RSI_Bounce_30_65_ATR2.5,QQQ,0.2001,0.482,39.33,5.78,14.6,0.396,0.277,62.5,8,2.78,4.92,12286.8,-7366.57,19.8,False,139334.29,databento
RSI_Bounce_30_70_ATR2.5,QQQ,0.2001,0.482,39.33,5.78,14.6,0.396,0.277,62.5,8,2.78,4.92,12286.8,-7366.57,19.8,False,139334.29,databento
RSI_Bounce_30_55_ATR1.5,GLD,0.1995,0.562,8.31,1.36,4.05,0.336,0.177,66.7,9,2.23,0.92,2512.48,-2253.73,6.8,False,108313.72,databento
EMA_5_13_ADX20,UPRO,0.1994,0.596,151.8,17.13,72.11,0.238,0.573,52.9,17,1.56,8.93,46900.29,-33833.08,66.4,True,251437.93,databento
RSI_Bounce_30_55_ATR1.5,TQQQ,0.1988,0.46,88.95,11.39,57.07,0.2,0.277,66.7,12,1.73,7.41,26371.19,-30572.72,16.0,False,188678.61,databento
IBS_10pct_2d,TQQQ,0.1988,0.29,27.57,4.17,54.82,0.076,0.21,56.0,125,1.09,0.22,4942.82,-5796.2,1.8,False,127206.23,databento
SMA100_RSI_35_65,SPY,0.1972,0.459,7.67,1.29,6.15,0.21,0.149,66.7,3,4.13,2.56,5064.48,-2454.76,23.7,False,107674.19,databento
IBS_10pct_3d,GLD,0.1971,0.271,8.17,1.33,11.05,0.12,0.181,56.6,76,1.19,0.11,1125.56,-1228.3,2.6,False,107865.19,databento
RSI_Bounce_30_60_ATR2.5,QQQ,0.1958,0.468,37.3,5.52,14.6,0.378,0.26,62.5,8,2.7,4.66,11855.32,-7324.27,18.6,False,137303.79,databento
SMA_10_30,TQQQ,0.1956,0.618,165.05,18.43,70.48,0.262,0.556,43.5,23,1.65,7.18,42048.71,-19649.03,39.1,False,265049.69,databento
RSI_BB_MeanRev_35_65,TQQQ,0.1939,0.259,6.2,1.03,45.6,0.023,0.236,59.6,52,1.03,0.12,8194.22,-11801.04,10.2,False,106198.92,databento
SMA100_RSI_45_70,QQQ,0.1932,0.585,38.55,5.82,12.61,0.462,0.456,54.5,11,2.27,3.5,11429.15,-6044.69,38.5,True,138351.44,databento
IBS_20pct_3d,SPY,0.1929,0.219,12.45,1.99,19.39,0.103,0.215,57.4,190,1.11,0.07,1163.62,-1416.12,2.4,False,112129.26,databento
SMA100_RSI_45_75,QQQ,0.1908,0.687,51.59,7.49,12.53,0.598,0.584,44.4,9,2.55,5.73,21102.73,-6608.37,59.2,False,151369.08,databento
RSI_BB_MeanRev_30_70,QQQ,0.1899,0.394,25.23,3.91,14.5,0.27,0.234,61.9,21,1.86,1.2,4201.85,-3674.02,8.7,False,125231.8,databento
TripleEMA_25_60_120,GLD,0.1898,0.442,31.2,5.0,35.18,0.142,0.529,42.9,105,1.26,0.3,3370.89,-2014.39,9.3,False,130826.36,databento
SMA100_RSI_40_70,SPY,0.1881,0.585,19.51,3.14,8.85,0.355,0.352,57.1,7,2.86,2.79,7439.13,-3472.89,34.4,False,119337.86,databento
EMA_12_26_ADX25,SOXL,0.1877,0.285,15.66,2.52,77.27,0.033,0.184,100.0,1,0.0,15.66,15496.85,0.0,314.0,False,115496.85,databento
RSI_MeanRev_30_70,QQQ,0.1872,0.414,30.54,4.62,13.48,0.343,0.224,62.5,8,2.76,3.82,9577.42,-5781.72,16.1,False,130541.96,databento
RSI_Bounce_30_60_ATR2.0,QQQ,0.1872,0.414,30.54,4.62,13.48,0.343,0.224,62.5,8,2.76,3.82,9577.42,-5781.72,16.1,False,130541.96,databento
RSI_Bounce_30_65_ATR2.0,QQQ,0.1872,0.414,30.54,4.62,13.48,0.343,0.224,62.5,8,2.76,3.82,9577.42,-5781.72,16.1,False,130541.96,databento
RSI_Bounce_30_70_ATR2.0,QQQ,0.1872,0.414,30.54,4.62,13.48,0.343,0.224,62.5,8,2.76,3.82,9577.42,-5781.72,16.1,False,130541.96,databento
SMA200_RSI_40_70,GLD,0.1871,0.455,15.36,2.51,8.61,0.292,0.265,66.7,6,2.56,2.56,6303.92,-4925.97,45.2,False,115363.73,databento
EMA_9_21_ADX15,TQQQ,0.1868,0.604,157.7,17.59,72.41,0.243,0.537,44.4,18,1.87,8.76,42477.61,-18211.84,48.7,False,257702.45,databento
RSI_Bounce_35_65_ATR2.0,GLD,0.1867,0.55,21.01,3.28,14.51,0.226,0.37,57.9,19,1.82,1.11,4251.51,-3219.44,14.8,True,121011.04,databento
RSI_Bounce_35_70_ATR2.0,GLD,0.1867,0.55,21.01,3.28,14.51,0.226,0.37,57.9,19,1.82,1.11,4251.51,-3219.44,14.8,True,121011.04,databento
SMA50_RSI_45_70,UPRO,0.186,0.676,57.46,8.2,17.63,0.465,0.366,40.0,10,3.4,5.75,20337.62,-3981.96,15.1,False,157458.7,databento
IBS_15pct_3d,SPY,0.1859,0.175,8.57,1.39,17.65,0.079,0.151,57.6,151,1.09,0.06,1130.77,-1408.03,2.4,False,108263.52,databento
MACD_12_26_9,QQQ,0.185,0.367,28.52,4.39,25.64,0.171,0.378,43.5,62,1.29,0.46,4706.08,-2820.68,12.1,False,128340.39,databento
RSI_Bounce_35_55_ATR1.5,GLD,0.183,0.463,14.18,2.27,7.31,0.311,0.254,56.5,23,1.61,0.62,2868.24,-2310.24,8.5,False,114184.72,databento
SMA_20_50,SPY,0.1828,0.618,46.99,6.91,29.31,0.236,0.689,53.8,13,2.06,3.61,12978.93,-7345.44,80.0,True,146779.86,databento
IBS_15pct_2d,GLD,0.1823,0.243,7.94,1.29,18.02,0.072,0.209,53.4,131,1.14,0.06,914.92,-924.81,2.0,False,107630.87,databento
IBS_10pct_2d,SPY,0.1823,0.209,9.16,1.48,17.4,0.085,0.157,54.4,114,1.12,0.08,1291.94,-1370.14,1.8,False,108853.02,databento
TripleEMA_20_50_100,GLD,0.1818,0.419,28.6,4.62,34.51,0.134,0.499,41.3,109,1.23,0.26,3315.7,-1890.19,8.8,False,128234.1,databento
RSI_BB_MeanRev_25_75,QQQ,0.1803,0.366,21.44,3.37,12.06,0.279,0.153,63.6,11,2.49,1.95,5117.87,-3596.18,8.2,False,121440.36,databento
RSI_Bounce_35_60_ATR2.0,GLD,0.1792,0.507,18.93,2.98,14.51,0.205,0.332,57.9,19,1.74,1.0,4034.6,-3181.06,14.1,True,118932.05,databento
SMA50_RSI_45_65,UPRO,0.1784,0.662,51.16,7.43,17.63,0.422,0.358,40.0,10,3.28,5.12,18400.33,-3739.42,11.0,False,151164.77,databento
SMA50_RSI_45_75,GLD,0.1781,0.599,16.1,2.62,6.31,0.416,0.38,50.0,4,3.48,4.03,11293.77,-3244.64,41.5,False,116098.26,databento
EMA_5_13_ADX15,GLD,0.1778,0.463,33.99,5.14,22.32,0.23,0.493,34.1,41,1.59,0.83,6510.96,-2124.38,22.7,False,133795.26,databento
RSI_BB_MeanRev_25_75,TQQQ,0.1776,0.338,41.85,6.15,45.28,0.136,0.175,69.2,13,1.56,3.22,12981.89,-18747.18,11.3,False,141848.27,databento
RSI_Bounce_30_55_ATR2.0,QQQ,0.1773,0.378,26.96,4.13,13.48,0.306,0.203,62.5,8,2.57,3.37,8825.59,-5721.85,15.8,False,126962.38,databento
IBS_5pct_3d,SOXL,0.1773,0.214,1.85,0.31,71.3,0.004,0.122,56.0,75,1.0,0.02,10815.21,-13708.77,2.3,False,101849.53,databento
EMA_5_13_ADX20,QQQ,0.1755,0.561,59.27,8.29,38.51,0.215,0.612,47.6,21,1.83,2.82,13018.31,-6467.18,44.3,True,159044.16,databento
Bollinger_20_1.5,TQQQ,0.175,0.501,96.62,12.18,75.73,0.161,0.443,50.0,22,1.39,4.39,31364.91,-22581.39,39.4,True,196618.68,databento
EMA_12_26_ADX20,TQQQ,0.1749,0.55,111.21,13.65,86.34,0.158,0.475,55.6,9,1.67,12.36,55655.84,-41768.42,108.0,False,211205.54,databento
RSI_Bounce_30_70_ATR2.5,SOXL,0.1729,0.487,85.49,11.04,74.97,0.147,0.477,62.5,8,1.34,10.69,68094.21,-84992.62,67.6,False,185493.19,databento
RSI_MeanRev_30_70,GLD,0.1714,0.462,9.6,1.57,5.72,0.274,0.208,62.5,8,2.1,1.2,3671.87,-2919.81,14.9,False,109599.94,databento
RSI_Bounce_30_65_ATR2.0,GLD,0.1714,0.462,9.6,1.57,5.72,0.274,0.208,62.5,8,2.1,1.2,3671.87,-2919.81,14.9,False,109599.94,databento
RSI_Bounce_30_70_ATR2.0,GLD,0.1714,0.462,9.6,1.57,5.72,0.274,0.208,62.5,8,2.1,1.2,3671.87,-2919.81,14.9,False,109599.94,databento
RSI_Bounce_30_55_ATR2.5,QQQ,0.1714,0.376,27.2,4.16,14.57,0.285,0.197,62.5,8,2.28,3.4,9682.79,-7072.87,16.2,False,127195.32,databento
SMA_10_30,UPRO,0.1713,0.347,31.16,4.82,68.79,0.07,0.299,62.5,24,1.2,1.3,12263.15,-16997.19,40.9,False,130972.5,databento
RSI_BB_MeanRev_35_65,SOXL,0.1698,0.243,-19.32,-3.6,63.45,-0.057,0.202,54.2,48,0.93,-0.4,10322.06,-13077.11,8.5,False,80677.06,databento
SMA200_RSI_45_65,GLD,0.1696,0.363,14.43,2.37,12.32,0.192,0.281,66.7,9,2.07,1.6,4647.64,-4485.39,45.3,False,114429.7,databento
TripleEMA_10_30_80,TQQQ,0.1692,0.36,34.43,5.46,60.1,0.091,0.45,40.2,97,1.05,0.35,19007.63,-12191.09,10.8,False,134214.2,databento
TripleEMA_10_30_80,GLD,0.1691,0.337,21.11,3.5,25.34,0.138,0.394,40.7,108,1.16,0.2,3409.54,-2019.63,8.5,False,120763.71,databento
SMA100_RSI_35_75,UPRO,0.169,0.554,27.52,4.31,15.03,0.287,0.185,33.3,3,5.32,9.17,33901.11,-3188.28,29.0,False,127524.55,databento
RSI_Bounce_35_55_ATR2.0,GLD,0.1687,0.446,15.73,2.51,14.52,0.173,0.288,57.9,19,1.65,0.83,3638.06,-3036.08,12.6,False,115730.03,databento
RSI_BB_MeanRev_40_60,TQQQ,0.168,0.121,-33.08,-6.62,62.6,-0.106,0.117,57.1,63,0.88,-0.53,6483.87,-9870.52,9.6,False,66915.25,databento
SMA_50_200,SOXL,0.1654,0.357,24.63,3.9,61.54,0.063,0.312,75.0,4,1.48,6.16,25089.6,-50815.8,129.8,False,124453.02,databento
RSI_Bounce_30_60_ATR2.0,GLD,0.1652,0.435,8.72,1.43,5.72,0.249,0.182,62.5,8,2.0,1.09,3481.19,-2896.29,13.5,False,108717.1,databento
SMA200_RSI_40_70,UPRO,0.165,0.359,33.62,5.16,60.31,0.086,0.165,71.4,7,1.37,4.8,24993.83,-45772.26,56.4,False,133424.6,databento
IBS_20pct_1d,QQQ,0.165,0.164,7.82,1.27,27.83,0.046,0.162,50.9,228,1.05,0.03,1344.95,-1325.86,1.2,False,107517.69,databento
IBS_20pct_2d,SPY,0.1636,0.095,2.59,0.43,24.05,0.018,0.09,54.7,201,1.02,0.01,1053.79,-1248.55,2.0,False,102299.4,databento
SMA50_RSI_45_75,SOXL,0.1632,0.387,50.17,7.31,35.99,0.203,0.207,55.6,9,2.62,5.57,16213.74,-7725.14,19.3,False,150168.14,databento
EMA_20_50_ADX15,UPRO,0.1621,0.586,130.44,15.36,64.5,0.238,0.528,44.4,9,1.86,14.49,70427.39,-30321.0,122.4,False,230104.55,databento
MACD_8_21_5,SPY,0.162,0.252,14.28,2.31,17.3,0.134,0.264,42.4,92,1.15,0.16,2787.63,-1785.0,8.1,False,114112.42,databento
RSI_BB_MeanRev_40_60,TLT,0.1618,-0.091,-7.9,-1.39,23.41,-0.06,-0.095,59.4,64,0.89,-0.12,1683.19,-2763.97,9.1,False,92097.95,databento
EMA_12_26_ADX15,UPRO,0.161,0.462,71.57,9.68,70.77,0.137,0.398,50.0,20,1.42,3.58,24151.3,-17018.39,50.8,False,171329.11,databento
IBS_5pct_2d,UPRO,0.1609,0.056,-4.1,-0.7,40.82,-0.017,0.029,56.3,71,0.97,-0.06,3327.88,-4426.26,1.8,False,95901.19,databento
TripleEMA_10_30_80,UPRO,0.1606,0.306,27.15,4.41,54.31,0.081,0.359,39.6,101,1.05,0.27,13166.92,-8191.96,10.3,False,126967.21,databento
IBS_10pct_1d,TQQQ,0.1598,0.18,6.92,1.13,64.54,0.018,0.135,49.2,130,1.02,0.05,5202.54,-4944.6,1.1,False,106618.94,databento
IBS_15pct_1d,QQQ,0.1592,0.163,7.55,1.23,26.61,0.046,0.145,48.6,175,1.06,0.04,1543.67,-1377.38,1.2,False,107248.09,databento
IBS_5pct_2d,SPY,0.1592,0.044,0.51,0.08,11.28,0.008,0.023,55.6,63,1.01,0.01,1109.24,-1368.46,1.7,False,100506.46,databento
MACD_8_21_5,QQQ,0.1591,0.286,20.23,3.2,31.63,0.101,0.29,33.3,93,1.16,0.22,4624.86,-1988.83,7.8,False,120063.26,databento
RSI_BB_MeanRev_40_60,UPRO,0.159,0.031,-32.23,-6.42,55.54,-0.116,0.03,57.4,61,0.83,-0.53,4570.77,-7392.52,9.7,False,67771.36,databento
RSI_Bounce_35_60_ATR1.5,GLD,0.1584,0.368,11.18,1.81,7.78,0.233,0.207,54.5,22,1.48,0.51,2867.1,-2322.85,9.7,False,111176.66,databento
RSI_Bounce_35_65_ATR1.5,GLD,0.1584,0.368,11.18,1.81,7.78,0.233,0.207,54.5,22,1.48,0.51,2867.1,-2322.85,9.7,False,111176.66,databento
RSI_Bounce_35_70_ATR1.5,GLD,0.1584,0.368,11.18,1.81,7.78,0.233,0.207,54.5,22,1.48,0.51,2867.1,-2322.85,9.7,False,111176.66,databento
EMA_9_21_ADX25,QQQ,0.1582,0.346,31.47,4.8,41.71,0.115,0.368,66.7,6,1.84,5.24,17116.74,-18591.0,139.3,False,131284.98,databento
TripleEMA_15_40_90,GLD,0.1554,0.277,16.31,2.75,35.01,0.079,0.336,39.8,108,1.13,0.15,3243.03,-1899.53,8.9,False,115980.76,databento
EMA_9_21_ADX15,GLD,0.155,0.464,29.43,4.51,16.19,0.279,0.422,45.0,20,1.9,1.47,6841.78,-2939.45,34.0,False,129242.06,databento
RSI_Bounce_30_65_ATR2.5,SOXL,0.1548,0.43,51.04,7.24,74.97,0.097,0.4,62.5,8,1.24,6.38,53197.02,-71649.56,56.8,False,151036.42,databento
SMA100_RSI_40_75,GLD,0.1548,0.424,13.39,2.21,11.74,0.188,0.218,57.1,7,2.58,1.91,5464.66,-2822.5,33.3,False,113391.13,databento
SMA100_RSI_40_70,QQQ,0.1544,0.522,25.81,4.07,17.31,0.235,0.304,50.0,8,2.49,3.23,10701.9,-4294.48,30.4,False,125629.67,databento
RSI_BB_MeanRev_35_65,QQQ,0.1534,0.094,1.8,0.3,17.63,0.017,0.08,53.2,47,1.02,0.04,3311.73,-3681.64,9.5,False,101797.26,databento
IBS_5pct_5d,TLT,0.1529,-0.241,-8.64,-1.51,12.92,-0.116,-0.137,56.7,60,0.74,-0.14,708.7,-1259.17,3.2,False,91357.26,databento
MACD_12_26_9,SOXL,0.152,0.361,1.85,0.31,81.14,0.004,0.42,32.8,58,1.0,0.03,26017.76,-12631.61,14.0,False,101704.47,databento
RSI_Bounce_35_60_ATR2.0,SOXL,0.1498,0.43,31.88,4.8,81.28,0.059,0.386,52.2,23,1.12,1.39,24676.26,-24020.93,20.9,False,131884.9,databento
RSI_Bounce_35_65_ATR2.0,QQQ,0.1495,0.332,26.1,4.01,18.57,0.216,0.246,50.0,24,1.39,1.09,7712.31,-5537.67,12.2,False,126095.64,databento
RSI_Bounce_35_70_ATR2.0,QQQ,0.1495,0.332,26.1,4.01,18.57,0.216,0.246,50.0,24,1.39,1.09,7712.31,-5537.67,12.2,False,126095.64,databento
SMA100_RSI_40_70,GLD,0.1494,0.398,12.47,2.06,11.74,0.175,0.205,57.1,7,2.47,1.78,5233.92,-2822.5,33.1,False,112468.18,databento
IBS_10pct_2d,GLD,0.1493,0.122,2.77,0.46,9.81,0.047,0.084,46.8,79,1.07,0.04,1022.89,-842.2,1.9,False,102474.63,databento
SuperTrend_RSI_7_2.0_r10,TLT,0.1492,-0.288,-21.11,-3.96,26.48,-0.15,-0.366,54.6,174,0.85,-0.12,1285.14,-1814.03,5.5,False,78780.25,databento
SuperTrend_RSI_10_3.0_r10,TLT,0.1492,-0.288,-21.11,-3.96,26.48,-0.15,-0.366,54.6,174,0.85,-0.12,1285.14,-1814.03,5.5,False,78780.25,databento
SuperTrend_RSI_14_4.0_r10,TLT,0.1492,-0.288,-21.11,-3.96,26.48,-0.15,-0.366,54.6,174,0.85,-0.12,1285.14,-1814.03,5.5,False,78780.25,databento
EMA_9_21_ADX20,TQQQ,0.1488,0.424,43.12,6.33,87.1,0.073,0.338,60.0,10,1.26,4.31,35338.18,-42227.98,85.4,False,143117.18,databento
IBS_5pct_2d,TQQQ,0.1484,0.006,-13.1,-2.33,43.18,-0.054,0.003,53.5,71,0.94,-0.18,4987.05,-6139.67,1.7,False,86898.61,databento
