strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,win_rate_pct,num_trades,years,final_equity
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue,50,200,45,100,0,cash,2,True,986.48,58.68,-62.27,1.3613,0.9424,46.8,95,5.2,1086475.76
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue,50,200,45,100,0,cash,0,True,981.47,58.54,-63.1,1.3597,0.9278,46.8,95,5.2,1081467.56
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue,50,200,45,100,0,SHY,0,True,964.03,58.04,-64.07,1.3517,0.906,47.9,95,5.2,1064033.73
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue,50,200,45,100,0,SHY,2,True,961.7,57.98,-63.26,1.3501,0.9165,46.8,95,5.2,1061697.3
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue,100,200,45,75,25,TLT,2,True,1154.42,63.16,-68.34,1.3321,0.9242,50.5,96,5.2,1254420.05
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue,100,200,45,75,25,TLT,0,True,1087.2,61.43,-67.73,1.3093,0.907,49.5,96,5.2,1187196.85
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue,50,200,45,75,25,cash,2,True,903.82,56.27,-63.95,1.2709,0.88,46.8,95,5.2,1003823.76
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue,50,200,45,75,25,cash,0,True,900.46,56.17,-64.6,1.2699,0.8696,46.8,95,5.2,1000461.61
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue,50,200,45,75,25,SHY,0,True,884.33,55.68,-65.67,1.2625,0.8479,47.9,95,5.2,984329.12
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue,50,200,45,75,25,SHY,2,True,880.92,55.58,-65.04,1.2605,0.8545,46.8,95,5.2,980920.61
SMA50_200_RSI45_UPRO100_TLT_delay0_cautionTrue,50,200,45,100,0,TLT,0,True,739.76,50.97,-71.45,1.2236,0.7133,48.9,95,5.2,839764.63
SMA50_200_RSI45_UPRO100_TLT_delay2_cautionTrue,50,200,45,100,0,TLT,2,True,728.09,50.56,-70.56,1.2168,0.7165,47.9,95,5.2,828089.0
SMA100_200_RSI40_UPRO100_cash_delay0_cautionTrue,100,200,40,100,0,cash,0,True,769.28,51.98,-60.26,1.1939,0.8625,46.8,63,5.2,869283.3
SMA100_200_RSI40_UPRO100_SHY_delay0_cautionTrue,100,200,40,100,0,SHY,0,True,753.57,51.44,-60.39,1.1857,0.8518,48.4,63,5.2,853574.58
SMA100_200_RSI40_UPRO100_cash_delay2_cautionTrue,100,200,40,100,0,cash,2,True,750.93,51.35,-60.26,1.183,0.8522,45.2,63,5.2,850933.62
SMA100_200_RSI40_UPRO100_SHY_delay2_cautionTrue,100,200,40,100,0,SHY,2,True,740.62,51.0,-60.39,1.1774,0.8444,48.4,63,5.2,840618.51
SMA50_200_RSI45_UPRO75_TLT_delay0_cautionTrue,50,200,45,75,25,TLT,0,True,676.95,48.71,-72.97,1.1459,0.6676,48.9,95,5.2,776954.22
SMA50_200_RSI45_UPRO75_TLT_delay2_cautionTrue,50,200,45,75,25,TLT,2,True,665.15,48.27,-72.14,1.139,0.6692,47.9,95,5.2,765154.89
SMA100_200_RSI40_UPRO100_TLT_delay2_cautionTrue,100,200,40,100,0,TLT,2,True,618.76,46.49,-67.1,1.1,0.6928,46.8,63,5.2,718757.76
SMA100_200_RSI40_UPRO75_cash_delay0_cautionTrue,100,200,40,75,25,cash,0,True,658.69,48.03,-62.36,1.0948,0.7702,45.2,63,5.2,758688.51
SMA100_200_RSI40_UPRO100_TLT_delay0_cautionTrue,100,200,40,100,0,TLT,0,True,602.6,45.84,-65.58,1.0918,0.6991,48.4,63,5.2,702601.93
SMA100_200_RSI40_UPRO75_cash_delay2_cautionTrue,100,200,40,75,25,cash,2,True,651.79,47.77,-62.36,1.09,0.766,43.5,63,5.2,751790.15
SMA100_200_RSI40_UPRO75_SHY_delay0_cautionTrue,100,200,40,75,25,SHY,0,True,644.97,47.51,-62.48,1.0872,0.7604,46.8,63,5.2,744969.92
SMA100_200_RSI40_UPRO75_SHY_delay2_cautionTrue,100,200,40,75,25,SHY,2,True,642.67,47.42,-62.48,1.0847,0.7589,46.8,63,5.2,742668.56
SMA50_200_RSI40_UPRO100_cash_delay2_cautionTrue,50,200,40,100,0,cash,2,True,502.84,41.59,-64.14,1.0493,0.6483,44.8,59,5.2,602844.78
SMA50_200_RSI40_UPRO100_cash_delay0_cautionTrue,50,200,40,100,0,cash,0,True,500.07,41.46,-64.93,1.0475,0.6385,44.8,59,5.2,600065.92
SMA50_200_RSI40_UPRO100_SHY_delay0_cautionTrue,50,200,40,100,0,SHY,0,True,489.46,40.97,-65.81,1.0393,0.6225,46.6,59,5.2,589464.98
