strategy,sma_fast,sma_slow,rsi_threshold,upro_pct,tqqq_pct,defensive,sma_delay,bull_caution,vix_kill,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,calmar,num_trades,years,final_equity
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,100,200,45,75,25,cash,2,True,35.0,1748.6,75.88,-61.88,1.5271,1.2262,100,5.2,1848604.57
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,100,200,45,75,25,SHY,2,True,35.0,1727.22,75.48,-61.91,1.5218,1.2193,100,5.2,1827221.84
SMA50_200_RSI50_UPRO75_TLT_delay0_cautionTrue_vixNone,50,200,50,75,25,TLT,0,True,,1068.34,60.93,-57.99,1.5207,1.0506,116,5.2,1168344.02
SMA50_200_RSI50_UPRO75_TLT_delay2_cautionTrue_vixNone,50,200,50,75,25,TLT,2,True,,1061.81,60.76,-56.7,1.5172,1.0715,116,5.2,1161814.68
SMA100_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,100,200,45,100,0,cash,2,True,,1500.07,71.03,-60.03,1.5169,1.1832,96,5.2,1600072.77
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,100,200,45,75,25,cash,0,True,35.0,1700.95,74.99,-61.88,1.5156,1.2118,100,5.2,1800951.85
SMA100_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,100,200,45,100,0,SHY,2,True,,1487.2,70.76,-60.06,1.5128,1.1783,96,5.2,1587204.44
SMA100_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,100,200,45,100,0,cash,0,True,,1473.26,70.47,-60.03,1.5092,1.1739,96,5.2,1573255.35
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,100,200,45,75,25,SHY,0,True,35.0,1671.6,74.44,-61.91,1.5083,1.2024,100,5.2,1771599.69
SMA100_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,100,200,45,100,0,SHY,0,True,,1453.13,70.05,-60.06,1.503,1.1663,96,5.2,1553133.76
SMA100_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vix35,100,200,45,100,0,TLT,2,True,35.0,1422.74,69.4,-64.89,1.4924,1.0694,100,5.2,1522737.61
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vix35,100,200,45,100,0,TLT,0,True,35.0,1354.5,67.9,-64.11,1.4723,1.0592,100,5.2,1454497.93
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vix35,50,200,45,100,0,cash,2,True,35.0,1218.23,64.74,-60.25,1.4708,1.0744,97,5.2,1318233.4
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vix35,50,200,45,100,0,cash,0,True,35.0,1208.93,64.51,-61.12,1.4675,1.0554,97,5.2,1308927.1
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vix35,50,200,45,100,0,SHY,2,True,35.0,1186.7,63.97,-61.33,1.4589,1.0429,97,5.2,1286698.2
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vix35,50,200,45,100,0,SHY,0,True,35.0,1183.24,63.88,-62.18,1.4578,1.0273,97,5.2,1283244.41
SMA100_200_RSI45_UPRO75_cash_delay2_cautionTrue_vixNone,100,200,45,75,25,cash,2,True,,1406.81,69.05,-61.88,1.4256,1.1159,96,5.2,1506810.08
SMA100_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vixNone,100,200,45,75,25,SHY,2,True,,1394.69,68.79,-61.91,1.4218,1.1112,96,5.2,1494691.21
SMA100_200_RSI45_UPRO75_cash_delay0_cautionTrue_vixNone,100,200,45,75,25,cash,0,True,,1367.97,68.2,-61.88,1.4142,1.1021,96,5.2,1467968.03
SMA100_200_RSI45_UPRO100_TLT_delay2_cautionTrue_vixNone,100,200,45,100,0,TLT,2,True,,1231.92,65.07,-66.46,1.4132,0.979,96,5.2,1331920.34
SMA100_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vixNone,100,200,45,75,25,SHY,0,True,,1349.19,67.78,-61.91,1.4085,1.0949,96,5.2,1449191.56
SMA100_200_RSI45_UPRO75_TLT_delay2_cautionTrue_vix35,100,200,45,75,25,TLT,2,True,35.0,1353.75,67.89,-66.79,1.4077,1.0164,100,5.2,1453750.18
SMA100_200_RSI45_UPRO100_TLT_delay0_cautionTrue_vixNone,100,200,45,100,0,TLT,0,True,,1172.23,63.61,-65.71,1.3934,0.968,96,5.2,1272231.91
SMA100_200_RSI45_UPRO75_TLT_delay0_cautionTrue_vix35,100,200,45,75,25,TLT,0,True,35.0,1275.85,66.11,-66.15,1.3847,0.9993,100,5.2,1375845.07
SMA50_200_RSI45_UPRO75_cash_delay2_cautionTrue_vix35,50,200,45,75,25,cash,2,True,35.0,1137.19,62.72,-61.94,1.3754,1.0127,97,5.2,1237188.6
SMA50_200_RSI45_UPRO75_cash_delay0_cautionTrue_vix35,50,200,45,75,25,cash,0,True,35.0,1127.4,62.47,-62.63,1.372,0.9976,97,5.2,1227399.47
SMA50_200_RSI45_UPRO75_SHY_delay2_cautionTrue_vix35,50,200,45,75,25,SHY,2,True,35.0,1107.59,61.96,-63.12,1.3644,0.9816,97,5.2,1207586.58
SMA50_200_RSI45_UPRO75_SHY_delay0_cautionTrue_vix35,50,200,45,75,25,SHY,0,True,35.0,1103.32,61.85,-63.79,1.363,0.9696,97,5.2,1203317.22
SMA50_200_RSI45_UPRO100_cash_delay2_cautionTrue_vixNone,50,200,45,100,0,cash,2,True,,986.48,58.68,-62.27,1.3613,0.9424,95,5.2,1086475.76
SMA50_200_RSI45_UPRO100_cash_delay0_cautionTrue_vixNone,50,200,45,100,0,cash,0,True,,981.47,58.54,-63.1,1.3597,0.9278,95,5.2,1081467.56
SMA50_200_RSI45_UPRO100_SHY_delay0_cautionTrue_vixNone,50,200,45,100,0,SHY,0,True,,964.03,58.04,-64.07,1.3517,0.906,95,5.2,1064033.73
SMA50_200_RSI45_UPRO100_SHY_delay2_cautionTrue_vixNone,50,200,45,100,0,SHY,2,True,,961.7,57.98,-63.26,1.3501,0.9165,95,5.2,1061697.3
