trade_number,signal_date,execution_date,action,instrument,trigger_reason,exec_price,shares_before,shares_after,shares_delta,cash_after,trade_value_dollars,slippage_dollars,commission_dollars,portfolio_value_at_close
1,2022-05-11,2022-05-12,BUY_INIT,SVIX,"SVIX_INIT: VIX=32.6 in [30,40], falling 2 days",9.57,0.0,1044.9321,1044.9321,89974.78,10000.0,20.0,5.22,100455.45
2,2022-08-10,2022-08-11,SELL_ALL,SVIX,EXIT: VIX=19.7<20.0,13.78,1044.9321,0.0,-1044.9321,104339.93,14399.16,28.8,5.22,104339.93
3,2022-10-03,2022-10-04,BUY_INIT,SVIX,"SVIX_INIT: VIX=30.1 in [30,40], falling 2 days",11.02,0.0,946.8233,946.8233,93880.34,10433.99,20.87,4.73,104409.01
4,2022-11-30,2022-12-01,SELL_ALL,SVIX,FORCED_EXIT: Step 2 exited CASH state,14.185,946.8233,0.0,-946.8233,107279.43,13430.69,26.86,4.73,107279.43
5,2025-04-14,2025-04-15,BUY_INIT,SVIX,"SVIX_INIT: VIX=30.9 in [30,40], falling 2 days",11.95,0.0,897.7358,897.7358,96525.54,10727.94,21.46,4.49,106831.55
6,2025-05-12,2025-05-13,SELL_ALL,SVIX,EXIT: VIX=18.4<20.0,14.83,897.7358,0.0,-897.7358,109807.85,13313.42,26.63,4.49,109807.85
