date,state,spy_close,qqq_close,vix,upro_shares,tqqq_shares,cash,upro_value,tqqq_value,portfolio_value,data_source
2013-01-23,BULL_100,149.37,67.59,12.46,23703.6166,52842.244,1056.35,99832.52,31636.65,132525.52,polygon
2013-01-24,BULL_100,149.41,66.66,12.69,23703.6166,52842.244,1056.35,99991.34,30373.72,131421.41,polygon
2013-01-25,BULL_100,150.25,67.0,12.89,23703.6166,52842.244,1056.35,101688.52,30828.17,133573.03,polygon
2013-01-28,BULL_100,150.07,67.15,13.57,23703.6166,52842.244,1056.35,101314.0,31044.82,133415.16,polygon
2013-01-29,BULL_100,150.66,67.16,13.31,23703.6166,52842.244,1056.35,102499.18,31044.82,134600.34,polygon
2013-01-30,BULL_100,150.07,67.02,14.32,23703.6166,52842.244,1056.35,101404.07,30875.72,133336.14,polygon
2013-01-31,BULL_100,149.7,66.87,14.28,23703.6166,52842.244,1056.35,100572.07,30680.21,132308.63,polygon
2013-02-01,BULL_100,151.24,67.66,12.9,23703.6166,52842.244,1056.35,103644.06,31684.21,136384.62,polygon
2013-02-04,BULL_100,149.53,66.48,14.67,23703.6166,52842.244,1056.35,100188.08,30072.52,131316.95,polygon
2013-02-05,BULL_100,151.05,67.46,13.72,23703.6166,52842.244,1056.35,103200.81,31393.58,135650.73,polygon
2013-02-06,BULL_100,151.16,67.24,13.41,23703.6166,52842.244,1056.35,103407.03,31102.94,135566.32,polygon
2013-02-07,BULL_100,150.96,67.3,13.5,23703.6166,52842.244,1056.35,103101.25,31176.92,135334.52,polygon
2013-02-08,BULL_100,151.8,67.99,13.02,23703.6166,52842.244,1056.35,104741.54,32128.08,137925.97,polygon
2013-02-11,BULL_100,151.77,68.01,12.94,23703.6166,52842.244,1056.35,104592.21,32112.23,137760.79,polygon
2013-02-12,BULL_100,152.02,67.73,12.64,23703.6166,52842.244,1056.35,105106.58,31742.34,137905.26,polygon
2013-02-13,BULL_100,152.15,67.97,12.98,23703.6166,52842.244,1056.35,105471.61,32106.95,138634.91,polygon
2013-02-14,BULL_100,152.29,67.95,12.66,23703.6166,52842.244,1056.35,105798.72,32038.25,138893.32,polygon
2013-02-15,BULL_100,152.11,67.75,12.46,23703.6166,52842.244,1056.35,105462.13,31768.76,138287.24,polygon
2013-02-19,BULL_100,153.25,68.24,12.31,23703.6166,52842.244,1056.35,107555.16,32460.99,141072.5,polygon
2013-02-20,BULL_100,151.34,67.19,14.68,23703.6166,52842.244,1056.35,103575.32,30981.41,135613.08,polygon
2013-02-21,BULL_100,150.42,66.47,15.22,23703.6166,52842.244,1056.35,101769.11,29972.12,132797.58,polygon
2013-02-22,BULL_100,151.89,67.14,14.17,23703.6166,52842.244,1056.35,104741.54,30854.59,136652.48,polygon
2013-02-25,BULL_100,149.0,66.31,18.99,23703.6166,52842.244,1056.35,98825.12,29702.63,129584.09,polygon
2013-02-26,BULL_100,150.02,66.56,16.87,23703.6166,52842.244,1056.35,100839.93,30061.95,131958.23,polygon
2013-02-27,DEFENSIVE_QQQ,151.91,67.24,14.73,23284.3859,28909.9469,16337.64,102723.73,16944.12,136005.49,polygon
2013-02-28,DEFENSIVE_QQQ,151.61,67.1,15.51,23284.3859,28909.9469,16337.64,102311.59,16883.41,135532.64,polygon
2013-03-01,BULL_100,152.11,67.38,15.36,22933.3489,57552.0502,1187.26,101720.87,33955.71,136863.84,polygon
2013-03-04,BULL_100,152.92,67.68,14.01,22933.3489,57552.0502,1187.26,103057.88,34393.11,138638.25,polygon
2013-03-05,BULL_100,154.29,68.68,13.48,22933.3489,57552.0502,1187.26,105924.55,35906.72,143018.54,polygon
2013-03-06,BULL_100,154.5,68.51,13.53,22933.3489,57552.0502,1187.26,106468.07,35676.52,143331.85,polygon
2013-03-07,BULL_100,154.78,68.69,13.06,22933.3489,57552.0502,1187.26,107062.05,35993.05,144242.36,polygon
2013-03-08,BULL_100,155.44,68.77,12.59,22933.3489,57552.0502,1187.26,108408.23,36033.34,145628.83,polygon
2013-03-11,BULL_100,156.03,68.97,11.56,22933.3489,57552.0502,1187.26,109554.9,36401.67,147143.83,polygon
2013-03-12,BULL_100,155.68,68.72,12.27,22933.3489,57552.0502,1187.26,108779.75,35958.52,145925.54,polygon
2013-03-13,BULL_100,155.91,68.63,11.83,22933.3489,57552.0502,1187.26,109210.9,35849.17,146247.33,polygon
2013-03-14,BULL_100,156.73,68.86,11.3,22933.3489,57552.0502,1187.26,110997.41,36211.75,148396.42,polygon
2013-03-15,BULL_100,155.83,68.51,11.3,22933.3489,57552.0502,1187.26,110568.56,35872.19,147628.01,polygon
2013-03-18,BULL_100,154.97,68.36,13.36,22933.3489,57552.0502,1187.26,108674.26,35624.72,145486.24,polygon
2013-03-19,BULL_100,154.61,68.23,14.39,22933.3489,57552.0502,1187.26,107949.57,35480.84,144617.67,polygon
2013-03-20,BULL_100,155.69,68.71,12.67,22933.3489,57552.0502,1187.26,110167.22,36159.95,147514.44,polygon
2013-03-21,BULL_100,154.36,67.93,13.99,22933.3489,57552.0502,1187.26,107367.06,35003.16,143557.48,polygon
2013-03-22,BULL_100,155.6,68.59,13.57,22933.3489,57552.0502,1187.26,109850.74,35964.28,147002.28,polygon
2013-03-25,BULL_100,154.95,68.34,13.74,22933.3489,57552.0502,1187.26,108761.41,35601.7,145550.37,polygon
2013-03-26,BULL_100,156.19,68.71,12.77,22933.3489,57552.0502,1187.26,111274.9,36148.44,148610.61,polygon
2013-03-27,BULL_100,156.19,68.8,13.15,22933.3489,57552.0502,1187.26,111130.42,36338.36,148656.05,polygon
2013-03-28,BULL_100,156.67,68.97,12.7,22933.3489,57552.0502,1187.26,111878.05,36545.55,149610.86,polygon
2013-04-01,BULL_100,156.05,68.5,13.58,22933.3489,57552.0502,1187.26,110811.65,35837.66,147836.57,polygon
2013-04-02,BULL_100,156.82,69.04,12.78,22933.3489,57552.0502,1187.26,112361.94,36649.15,150198.35,polygon
2013-04-03,BULL_100,155.23,68.41,14.21,22933.3489,57552.0502,1187.26,108924.23,35676.52,145788.01,polygon
2013-04-04,BULL_100,155.86,68.43,13.89,22933.3489,57552.0502,1187.26,110396.55,35693.78,147277.6,polygon
2013-04-05,BULL_100,155.16,67.86,13.92,22933.3489,57552.0502,1187.26,108818.74,34818.99,144824.99,polygon
2013-04-08,BULL_100,156.21,68.22,13.19,22933.3489,57552.0502,1187.26,110846.05,35354.22,147387.53,polygon
2013-04-09,BULL_100,156.75,68.68,12.84,22933.3489,57552.0502,1187.26,112288.56,36050.6,149526.42,polygon
2013-04-10,BULL_100,158.67,70.02,12.36,22933.3489,57552.0502,1187.26,116483.07,38162.76,155833.09,polygon
2013-04-11,BULL_100,159.19,69.99,12.24,22933.3489,57552.0502,1187.26,117590.75,38093.7,156871.71,polygon
2013-04-12,BULL_100,158.8,69.94,12.06,22933.3489,57552.0502,1187.26,116645.89,38053.42,155886.57,polygon
2013-04-15,BULL_100,155.12,68.56,17.27,22933.3489,57552.0502,1187.26,108704.07,35739.82,145631.16,polygon
2013-04-16,BULL_100,157.41,69.47,13.96,22933.3489,57552.0502,1187.26,113215.06,37230.42,151632.75,polygon
2013-04-17,BULL_100,155.11,68.11,16.51,22933.3489,57552.0502,1187.26,108314.21,35054.95,144556.42,polygon
2013-04-18,BULL_100,154.14,67.17,17.56,22933.3489,57552.0502,1187.26,106314.42,33535.58,141037.26,polygon
2013-04-19,DEFENSIVE_QQQ,155.48,68.09,14.97,22826.9148,30209.1975,17598.89,108541.98,18333.96,144474.84,polygon
2013-04-22,DEFENSIVE_QQQ,156.17,68.79,14.39,22826.9148,30209.1975,17598.89,110130.73,18898.87,146628.5,polygon
2013-04-23,DEFENSIVE_QQQ,157.78,69.45,13.48,22826.9148,30209.1975,17598.89,113440.64,19454.72,150494.25,polygon
2013-04-24,BULL_100,157.88,69.42,13.61,22461.651,58238.5968,1351.77,111841.05,37412.47,150605.3,polygon
2013-04-25,BULL_100,158.52,69.79,13.62,22461.651,58238.5968,1351.77,113235.92,38023.98,152611.67,polygon
2013-04-26,BULL_100,158.24,69.57,13.61,22461.651,58238.5968,1351.77,112514.9,37697.84,151564.52,polygon
2013-04-29,BULL_100,159.3,70.21,13.71,22461.651,58238.5968,1351.77,114790.27,38699.55,154841.59,polygon
2013-04-30,BULL_100,159.68,70.72,13.52,22461.651,58238.5968,1351.77,115547.23,39549.83,156448.83,polygon
2013-05-01,BULL_100,158.28,70.39,14.49,22461.651,58238.5968,1351.77,112467.73,39048.98,152868.48,polygon
2013-05-02,BULL_100,159.75,71.28,13.59,22461.651,58238.5968,1351.77,115677.5,40458.35,157487.63,polygon
2013-05-03,BULL_100,161.37,72.12,12.85,22461.651,58238.5968,1351.77,119168.04,41873.55,162393.37,polygon
2013-05-06,BULL_100,161.78,72.4,12.66,22461.651,58238.5968,1351.77,120142.88,42409.35,163904.0,polygon
2013-05-07,BULL_100,162.6,72.36,12.83,22461.651,58238.5968,1351.77,121901.63,42310.34,165563.74,polygon
2013-05-08,BULL_100,163.34,72.71,12.66,22461.651,58238.5968,1351.77,123606.47,42968.44,167926.67,polygon
2013-05-09,BULL_100,162.88,72.61,13.13,22461.651,58238.5968,1351.77,122631.63,42817.02,166800.42,polygon
2013-05-10,BULL_100,163.41,73.05,12.59,22461.651,58238.5968,1351.77,123792.9,43545.0,168689.67,polygon
2013-05-13,BULL_100,163.54,73.14,12.55,22461.651,58238.5968,1351.77,123999.54,43719.71,169071.03,polygon
2013-05-14,BULL_100,165.23,73.52,12.77,22461.651,58238.5968,1351.77,127910.12,44360.34,173622.23,polygon
2013-05-15,BULL_100,166.12,73.67,12.81,22461.651,58238.5968,1351.77,129875.51,44686.48,175913.76,polygon
2013-05-16,BULL_100,165.34,73.59,13.07,22461.651,58238.5968,1351.77,128031.41,44523.41,173906.59,polygon
2013-05-17,BULL_100,166.94,74.3,12.45,22461.651,58238.5968,1351.77,131861.12,45781.36,178994.25,polygon
2013-05-20,BULL_100,166.93,74.19,13.02,22461.651,58238.5968,1351.77,131822.94,45571.7,178746.41,polygon
