date,state,spy_close,upro_close,vix,shares_held,cash_held,portfolio_value,upro_allocation_pct,data_source
2011-12-19,CASH,120.29,2.2125,24.92,0.0,82637.6,82637.6,0.0,polygon
2011-12-20,CASH,123.93,2.4154,23.22,0.0,82637.6,82637.6,0.0,polygon
2011-12-21,CASH,124.17,2.4288,21.43,0.0,82637.6,82637.6,0.0,polygon
2011-12-22,CASH,125.27,2.4992,21.16,0.0,82637.6,82637.6,0.0,polygon
2011-12-23,CASH,126.39,2.558,20.73,0.0,82637.6,82637.6,0.0,polygon
2011-12-27,SMA_RECOVERY,126.49,2.5596,21.91,24340.4944,20506.71,82808.64,75.2,polygon
2011-12-28,BULL_100,124.83,2.4695,23.52,32006.7182,781.65,79822.24,99.0,polygon
2011-12-29,CASH,126.12,2.5396,22.65,0.0,80133.4,80133.4,0.0,polygon
2011-12-30,SMA_RECOVERY,125.5,2.5063,23.4,23708.1055,19884.76,79304.38,74.9,polygon
2012-01-03,CASH,127.5,2.6275,22.97,0.0,82152.36,82152.36,0.0,polygon
2012-01-04,SMA_RECOVERY,127.7,2.6313,22.22,23678.6707,20388.89,82694.58,75.3,polygon
2012-01-05,BULL_100,128.04,2.6584,21.48,31230.2097,770.02,83792.41,99.1,polygon
2012-01-06,BULL_100,127.71,2.6388,20.63,31230.2097,770.02,83180.3,99.1,polygon
2012-01-09,BULL_100,128.02,2.6517,21.07,31230.2097,770.02,83583.17,99.1,polygon
2012-01-10,BULL_100,129.13,2.7209,20.69,31230.2097,770.02,85744.3,99.1,polygon
2012-01-11,BULL_100,129.2,2.7284,21.05,31230.2097,770.02,85978.53,99.1,polygon
2012-01-12,BULL_100,129.51,2.7459,20.47,31230.2097,770.02,86525.06,99.1,polygon
2012-01-13,BULL_100,128.84,2.7167,20.91,31230.2097,770.02,85613.13,99.1,polygon
2012-01-17,BULL_100,129.34,2.7325,22.2,31230.2097,770.02,86106.57,99.1,polygon
2012-01-18,BULL_100,130.77,2.8238,20.89,31230.2097,770.02,88957.89,99.1,polygon
2012-01-19,BULL_100,131.46,2.868,19.87,31230.2097,770.02,90338.26,99.1,polygon
2012-01-20,BULL_100,131.54,2.8742,18.28,31230.2097,770.02,90531.89,99.1,polygon
2012-01-23,BULL_100,131.61,2.8767,18.67,31230.2097,770.02,90609.97,99.2,polygon
2012-01-24,BULL_100,131.46,2.8684,18.91,31230.2097,770.02,90350.76,99.1,polygon
2012-01-25,BULL_100,132.56,2.9388,18.31,31230.2097,770.02,92549.36,99.2,polygon
2012-01-26,BULL_100,131.88,2.8967,18.57,31230.2097,770.02,91234.57,99.2,polygon
2012-01-27,BULL_100,131.82,2.8909,18.53,31230.2097,770.02,91053.44,99.2,polygon
2012-01-30,BULL_100,131.37,2.8613,19.4,31230.2097,770.02,90129.02,99.1,polygon
2012-01-31,BULL_100,131.32,2.8546,19.44,31230.2097,770.02,89919.78,99.1,polygon
2012-02-01,BULL_100,132.47,2.9309,18.55,31230.2097,770.02,92302.64,99.2,polygon
2012-02-02,BULL_100,132.68,2.9463,17.98,31230.2097,770.02,92783.59,99.2,polygon
2012-02-03,BULL_100,134.54,3.0721,17.1,31230.2097,770.02,96712.35,99.2,polygon
2012-02-06,BULL_100,134.45,3.065,17.76,31230.2097,770.02,96490.62,99.2,polygon
2012-02-07,BULL_100,134.79,3.0884,17.65,31230.2097,770.02,97221.4,99.2,polygon
2012-02-08,BULL_100,135.19,3.1109,18.16,31230.2097,770.02,97924.08,99.2,polygon
2012-02-09,BULL_TRIMMED,135.36,3.1237,18.63,23607.1441,24583.22,98324.85,75.0,polygon
2012-02-10,BULL_TRIMMED,134.36,3.0625,20.79,23607.1441,24583.22,96880.09,74.6,polygon
2012-02-13,BULL_TRIMMED,135.36,3.125,19.04,23607.1441,24583.22,98355.54,75.0,polygon
2012-02-14,BULL_TRIMMED,135.19,3.113,19.54,23607.1441,24583.22,98072.26,74.9,polygon
2012-02-15,BULL_TRIMMED,134.56,3.0684,21.14,23607.1441,24583.22,97019.38,74.7,polygon
2012-02-16,BULL_TRIMMED,136.05,3.1675,19.22,23607.1441,24583.22,99358.85,75.3,polygon
2012-02-17,BULL_TRIMMED,136.41,3.1975,17.78,23607.1441,24583.22,100067.06,75.4,polygon
2012-02-21,BULL_TRIMMED,136.47,3.2025,18.19,23607.1441,24583.22,100185.1,75.5,polygon
2012-02-22,BULL_TRIMMED,136.03,3.1662,18.19,23607.1441,24583.22,99328.16,75.3,polygon
2012-02-23,BULL_TRIMMED,136.63,3.2142,16.8,23607.1441,24583.22,100461.3,75.5,polygon
2012-02-24,BULL_TRIMMED,136.93,3.2305,17.31,23607.1441,24583.22,100846.1,75.6,polygon
2012-02-27,BULL_TRIMMED,137.16,3.245,18.19,23607.1441,24583.22,101188.4,75.7,polygon
2012-02-28,BULL_TRIMMED,137.56,3.2759,17.96,23607.1441,24583.22,101917.86,75.9,polygon
2012-02-29,BULL_TRIMMED,137.02,3.2325,18.43,23607.1441,24583.22,100893.31,75.6,polygon
2012-03-01,BULL_TRIMMED,137.73,3.29,17.26,23607.1441,24583.22,102250.72,76.0,polygon
2012-03-02,BULL_TRIMMED,137.31,3.26,17.29,23607.1441,24583.22,101542.51,75.8,polygon
2012-03-05,BULL_TRIMMED,136.75,3.2175,18.05,23607.1441,24583.22,100539.2,75.5,polygon
2012-03-06,BULL_TRIMMED,134.75,3.0742,20.87,23607.1441,24583.22,97156.3,74.7,polygon
2012-03-07,BULL_100,135.69,3.14,19.07,31226.91,927.28,98979.78,99.1,polygon
2012-03-08,BULL_100,137.04,3.2342,17.95,31226.91,927.28,101921.35,99.1,polygon
2012-03-09,BULL_100,137.57,3.2705,17.11,31226.91,927.28,103054.89,99.1,polygon
2012-03-12,BULL_100,137.58,3.2717,15.64,31226.91,927.28,103092.36,99.1,polygon
2012-03-13,BULL_100,140.06,3.4513,14.8,31226.91,927.28,108700.71,99.1,polygon
2012-03-14,BULL_100,139.91,3.4371,15.31,31226.91,927.28,108257.29,99.1,polygon
2012-03-15,BULL_100,140.72,3.4934,15.42,31226.91,927.28,110015.37,99.2,polygon
2012-03-16,BULL_100,140.3,3.5163,14.47,31226.91,927.28,110730.46,99.2,polygon
2012-03-19,BULL_100,140.85,3.5542,15.04,31226.91,927.28,111913.96,99.2,polygon
2012-03-20,BULL_100,140.44,3.5205,15.58,31226.91,927.28,110861.62,99.2,polygon
2012-03-21,BULL_100,140.21,3.5055,15.13,31226.91,927.28,110393.21,99.2,polygon
2012-03-22,BULL_100,139.2,3.4271,15.57,31226.91,927.28,107945.02,99.1,polygon
2012-03-23,BULL_100,139.65,3.4609,14.82,31226.91,927.28,109000.49,99.1,polygon
2012-03-26,BULL_100,141.61,3.605,14.26,31226.91,927.28,113500.29,99.2,polygon
2012-03-27,BULL_100,141.17,3.573,15.59,31226.91,927.28,112501.03,99.2,polygon
2012-03-28,BULL_100,140.47,3.5205,15.47,31226.91,927.28,110861.62,99.2,polygon
2012-03-29,BULL_100,140.23,3.5013,15.48,31226.91,927.28,110262.06,99.2,polygon
2012-03-30,BULL_100,140.81,3.533,15.5,31226.91,927.28,111251.95,99.2,polygon
2012-04-02,BULL_100,141.84,3.6205,15.64,31226.91,927.28,113984.31,99.2,polygon
2012-04-03,BULL_100,141.26,3.578,15.66,31226.91,927.28,112657.16,99.2,polygon
2012-04-04,BULL_100,139.86,3.4743,16.44,31226.91,927.28,109418.93,99.2,polygon
2012-04-05,BULL_100,139.79,3.4663,16.7,31226.91,927.28,109169.12,99.2,polygon
